fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,5812000000,2269000000,None,1077000000,-1347000000,975000000,2981000000,-906000000,-212000000,1324000000,-3116000000,-3043000000,-2753000000,249000000,249000000,None,1741000000,1741000000,None,None,2496000000,None,-233000000,None,None,None,1302000000
2023-09-09,5611000000,266000000,None,1513000000,-38000000,705000000,1024000000,369000000,-378000000,3116000000,-956000000,-656000000,1389000000,298000000,298000000,None,1742000000,None,None,None,0,None,-284000000,None,None,None,3092000000
2023-06-17,2411000000,163000000,None,109000000,1274000000,678000000,932000000,982000000,309000000,2771000000,-891000000,-87000000,2774000000,293000000,293000000,None,1591000000,None,None,None,0,None,-253000000,None,None,None,2748000000
2023-03-31,-392000000,243000000,None,-1969000000,1178000000,590000000,581000000,348000000,542000000,1944000000,-532000000,777000000,883000000,160000000,160000000,None,1608000000,1608000000,None,None,2986000000,None,-114000000,None,-147000000,None,1932000000
2022-12-31,4505000000,1760000000,None,755000000,-432000000,909000000,2651000000,-495000000,305000000,535000000,-2739000000,-2916000000,17000000,344000000,344000000,None,1586000000,1586000000,None,None,0,None,-319000000,None,None,None,518000000
2022-09-03,4425000000,180000000,None,1526000000,290000000,659000000,1057000000,505000000,-153000000,2724000000,-1863000000,-1475000000,-2809000000,457000000,457000000,None,1589000000,None,None,None,3377000000,None,-433000000,None,None,None,2702000000
2022-06-11,2055000000,103000000,None,367000000,1353000000,640000000,977000000,916000000,441000000,1446000000,-783000000,-2352000000,1573000000,506000000,506000000,None,1492000000,None,None,None,0,None,-466000000,None,None,None,1429000000
2022-03-19,-174000000,227000000,None,-749000000,1576000000,555000000,522000000,837000000,549000000,4273000000,2955000000,-1780000000,1206000000,193000000,193000000,None,1505000000,None,None,None,0,None,-144000000,None,1001000000,None,4261000000
2021-12-31,4982000000,2063000000,None,1048000000,-967000000,847000000,2349000000,-765000000,3000000,1341000000,-2239000000,-3559000000,423000000,0,0,None,1487000000,1487000000,None,None,4122000000,None,39000000,None,None,None,1322000000
2021-09-04,4294000000,326000000,None,1342000000,-23000000,650000000,971000000,202000000,-231000000,2243000000,-914000000,-2277000000,-70000000,0,0,None,1486000000,None,None,None,0,None,46000000,None,None,None,2224000000
