fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,118500000,316300000,None,-65100000,20900000,29000000,21200000,48300000,-41800000,208000000,-39500000,-41900000,0,0,0,None,36300000,36300000,None,None,None,None,0,None,None,None,208000000
2023-09-30,162200000,3500000,None,-47400000,-52700000,28700000,19400000,-16500000,-34200000,132100000,-19800000,-150200000,-115700000,0,0,None,36400000,36400000,None,None,0,None,0,None,None,None,132100000
2023-06-30,445100000,7900000,None,61500000,-220500000,28600000,18800000,-192200000,-27600000,152900000,-9900000,-409300000,-377900000,0,0,None,36300000,36300000,None,None,0,None,0,None,25900000,None,152900000
2023-03-31,-106600000,7800000,None,-66400000,196200000,28500000,16600000,184800000,-6000000,129700000,-16200000,133300000,173600000,0,0,None,36200000,36200000,None,None,0,None,0,None,10500000,None,129700000
2022-12-31,92800000,238200000,None,-53800000,-300000,35300000,22000000,-6100000,16400000,95000000,61100000,-152800000,-131600000,0,0,None,34500000,34500000,None,None,0,None,2500000,None,1100000,None,95000000
2022-09-30,95200000,1300000,None,-6500000,29000000,18500000,23100000,7100000,26500000,115400000,-1614100000,1499300000,236300000,0,0,None,34600000,34600000,None,None,0,None,0,None,122800000,None,115400000
2022-06-30,306800000,1700000,None,54200000,-90300000,6300000,22400000,-147500000,49000000,152900000,-10700000,-267600000,-179800000,50000000,50000000,None,34800000,34800000,None,None,0,None,0,None,159200000,None,152900000
2022-03-31,-131500000,3100000,None,-39500000,234700000,22200000,17700000,116100000,95100000,117600000,-19100000,153800000,199600000,0,0,None,34700000,34700000,None,None,0,None,0,None,3200000,None,117600000
2021-12-31,73100000,156100000,None,26700000,111800000,19800000,21600000,63800000,45300000,148700000,-276300000,119600000,195000000,50000000,50000000,None,33100000,33100000,None,None,0,None,-40500000,None,-83600000,None,148700000
2021-09-30,179300000,1300000,None,88800000,71700000,6000000,14300000,28400000,44200000,143600000,-13500000,-90600000,-16100000,50000000,50000000,None,33200000,33200000,None,None,0,None,-41300000,None,153800000,None,143600000
2021-06-30,379800000,3400000,None,81700000,-139300000,6300000,11100000,-152600000,19400000,132100000,-91100000,-285800000,-112400000,40400000,40400000,None,33400000,33400000,None,None,0,None,-36400000,None,149400000,None,132100000
2021-03-31,-19000000,3300000,None,57700000,231500000,19800000,13200000,202400000,12500000,128600000,-9800000,34600000,92400000,9600000,9600000,None,33300000,33300000,None,None,0,None,-9600000,None,5800000,None,128600000
2020-12-31,73300000,147500000,None,-56800000,-700000,19200000,17800000,-1000000,11400000,103000000,-47300000,-21100000,33800000,35000000,35000000,None,31700000,31700000,None,None,0,None,-23200000,None,221300000,None,103000000
2020-09-30,234300000,1500000,None,61200000,-45300000,6900000,13900000,-44200000,0,110800000,-11700000,-226100000,-134200000,0,0,None,31700000,31700000,None,None,0,None,13800000,None,115600000,None,110800000
2020-06-30,428400000,2600000,None,61200000,-271500000,7000000,11800000,-270200000,-2400000,72100000,-33100000,-467500000,-438000000,0,0,None,31600000,31600000,None,None,0,None,2100000,None,76300000,-6500000,72100000
2020-03-31,-162400000,4700000,None,-73000000,200600000,19200000,18700000,167100000,20100000,72700000,-25800000,278800000,420900000,115200000,115200000,None,32100000,32100000,None,None,0,None,-110000000,None,86800000,-3800000,72700000
2019-12-31,88300000,123200000,None,43500000,98600000,19500000,13900000,100300000,-9600000,97800000,-2400000,-114900000,-39700000,0,0,None,30300000,30300000,None,None,200000000,None,5700000,None,-30700000,-1700000,97800000
2019-09-30,168000000,12300000,None,-400000,-59800000,7600000,14800000,-50600000,-900000,92300000,-14800000,-124600000,58300000,0,0,None,30400000,30400000,None,None,0,None,-400000,None,32700000,4100000,92300000
2019-06-30,353000000,19500000,None,12200000,-215200000,8300000,13000000,-186200000,-25300000,114300000,-10200000,-336600000,-551200000,150000000,150000000,None,31000000,31000000,None,None,0,None,-148700000,None,1600000,-4600000,114300000
2019-03-31,-256300000,8000000,None,-145400000,198700000,20200000,16800000,154000000,22200000,51300000,-304500000,559000000,584100000,0,0,None,31000000,31000000,None,None,0,None,5900000,None,4600000,6400000,51300000
2018-12-31,154500000,140500000,None,112200000,104400000,20700000,14400000,88800000,3800000,92900000,-13800000,-139500000,39700000,100000000,100000000,None,30500000,30500000,None,None,0,None,-102700000,None,9600000,8400000,92900000
2018-09-30,112700000,5200000,None,-2200000,300000,8600000,13500000,-20800000,20900000,110100000,-13400000,-107300000,0,100000000,100000000,None,30800000,30800000,None,None,0,None,-90300000,None,-14000000,-6000000,110100000
2018-06-30,339500000,-4800000,None,87000000,-209100000,9100000,3500000,-199600000,7000000,41500000,-10400000,-1158900000,-200000,150000000,150000000,None,62600000,62600000,None,None,-800000000,None,-144600000,None,7900000,1000000,41500000
2018-03-31,-167600000,16300000,None,-161600000,155600000,46200000,16800000,146900000,8400000,102900000,-31200000,997800000,200000,150000000,150000000,None,63300000,63300000,None,None,800000000,None,-149100000,None,-15500000,-4800000,102900000
2017-12-31,258400000,495300000,None,119100000,49200000,45800000,20400000,63000000,4500000,189600000,-24200000,-230700000,0,100000000,100000000,None,62800000,62800000,None,None,0,None,-97100000,None,5000000,1300000,189600000
2017-09-30,206500000,9300000,None,21400000,14000000,24600000,12900000,-3600000,12500000,125400000,-11200000,-275100000,-300000,0,0,None,62800000,62800000,None,None,0,None,4800000,None,-60400000,10500000,125500000
2017-06-30,261300000,7200000,None,-63000000,-154200000,24600000,14000000,-159100000,-5100000,263700000,2749800000,-3095800000,-400000,100000000,100000000,None,63300000,63300000,None,None,0,None,-73300000,None,-74800000,24400000,263700000
2017-03-31,-106000000,15900000,None,-64000000,157200000,45400000,23600000,130600000,8600000,87800000,-84000000,169000000,-100000,0,0,None,62800000,62800000,None,None,0,None,2800000,None,-400000,20600000,87700000
2016-12-31,304600000,310300000,None,-4200000,3500000,44100000,23300000,70500000,-19900000,131000000,-43300000,-155600000,800000,0,0,None,62000000,62000000,None,None,0,None,600000,None,68700000,-38100000,131000000
2016-09-30,187300000,-7400000,None,9800000,7200000,24100000,19900000,-2100000,-5100000,141000000,-10400000,-195800000,0,0,0,None,61900000,61900000,None,None,139800000,None,11800000,None,-2400000,16500000,141000000
2016-06-30,384500000,18600000,None,-32700000,-204100000,37600000,36400000,-180400000,-18300000,142800000,-36100000,-325900000,-700000,0,0,None,59600000,59600000,None,None,-278200000,None,9900000,None,15200000,-7300000,142800000
2016-03-31,-15000000,21200000,None,-25600000,153600000,71100000,38200000,90700000,9400000,107400000,-32000000,77200000,700000,0,0,None,60100000,60100000,None,None,138400000,None,-1600000,None,31800000,1600000,107400000
2015-12-31,343400000,322400000,None,-23000000,-103100000,86500000,33700000,37000000,-87400000,-453300000,-34900000,-326200000,-300000,0,0,None,58400000,58400000,None,None,0,None,6800000,None,-18600000,-900000,-453300000
2015-09-30,210400000,7900000,None,-39500000,-55900000,28200000,33800000,-83100000,-64900000,115200000,-1846400000,1647400000,-1700000,0,0,None,57700000,57700000,None,None,None,None,4600000,None,-2400000,-13800000,115200000
2015-06-30,318700000,20200000,None,800000,-114500000,28100000,32000000,-88500000,9400000,147800000,-103600000,-194500000,-300000,0,0,None,58100000,58100000,None,None,None,None,8600000,None,16200000,-4400000,147800000
2015-03-31,-133200000,15300000,None,-55100000,245000000,60000000,34800000,85800000,88200000,113900000,19400000,159600000,0,200000000,200000000,None,57500000,57500000,None,None,None,None,-191300000,None,20700000,-25100000,113900000
2014-12-31,325000000,239200000,None,49900000,12900000,62900000,37100000,62500000,-69300000,129800000,-40800000,-307800000,200000,300000000,300000000,None,55200000,55200000,None,None,2200000,None,-283700000,None,-46200000,-22600000,120800000
2014-09-30,268900000,17900000,None,14400000,-26200000,28500000,32900000,-36900000,12000000,-186000000,-30900000,-231900000,-3600000,399300000,399300000,None,57100000,57100000,None,None,None,None,-400500000,None,-7900000,-14000000,-186000000
2014-06-30,412000000,12000000,None,86900000,-102100000,29300000,32400000,-112600000,-8000000,161500000,-29300000,-430700000,3600000,198500000,198500000,None,49900000,49900000,None,None,None,None,-191000000,None,-39400000,8600000,161500000
2014-03-31,2500000,23900000,None,-52200000,132100000,66700000,27200000,78000000,34500000,118600000,-27300000,-24700000,300000,252200000,252200000,None,49200000,49200000,None,None,None,None,-228200000,None,-52100000,-2600000,118600000
2013-12-31,293900000,202500000,None,63200000,-15100000,62300000,43700000,38900000,-48100000,164400000,-34300000,-226000000,0,175500000,175500000,None,50300000,50300000,None,None,700000,None,-144000000,None,36800000,3200000,158200000
2013-09-30,247900000,1200000,None,6800000,10000000,28800000,38300000,-2800000,12400000,166400000,-37500000,-242200000,0,56700000,56700000,None,49900000,49900000,None,None,None,None,-26000000,None,-18200000,21800000,172800000
2013-06-30,366200000,6200000,None,38500000,-88100000,38900000,38000000,-74000000,6700000,139900000,-120900000,-212700000,-2900000,343300000,343600000,None,47000000,46800000,None,None,None,None,-314500000,None,-8200000,6000000,154100000
2013-03-31,19900000,0,None,6000000,122000000,80000000,50000000,129000000,-29100000,46800000,-18500000,-38200000,2900000,140300000,140000000,None,47000000,47200000,None,None,None,None,-129000000,None,-46800000,-10000000,51700000
2012-12-31,-203700000,386949000,None,146300000,-151900000,85808000,44590000,-28419000,-108900000,-274700000,-248300000,39100000,0,334200000,334159000,None,46244000,46300000,None,None,1035286000,None,-264559000,None,-405200000,7700000,-273100000
2012-09-30,80600000,405000,None,-15850000,-41013000,9700000,18630000,-32832000,-11700000,32600000,673300000,-173300000,-200000,0,0,None,22013000,21800000,None,None,None,None,5700000,None,582000000,1400000,31400000
2012-06-30,234800000,740000,None,18541000,-98793000,9900000,15691000,-94822000,-7700000,74400000,-32400000,-188100000,-18500000,0,0,None,22035000,22300000,None,None,169487000,None,9300000,None,5500000,-8791000,72800000
2012-03-31,-68000000,1000000,None,-13580000,117583000,25918000,15621000,100353000,20000000,63100000,-17000000,90000000,15000000,0,0,None,22105000,22000000,None,None,182976000,None,7000000,None,5000000,-9000,61700000
2011-12-31,79641000,152868000,None,66200000,-17733000,29246000,20285000,21309000,-2667000,-174068000,-21630000,-53300000,-25972000,15000,0,None,19868000,19831000,None,None,51179000,None,14700000,None,-2609000,-7320000,-174487000
2011-09-30,87948000,1672000,None,14168000,-13292000,12600000,17842000,-23768000,-13208000,51610000,-18352000,-81422000,8254000,12498000,12498000,None,19930000,19930000,None,None,None,None,-12498000,None,-16307000,-4481000,50648000
2011-06-30,200791000,None,None,10705000,-109777000,10800000,21953000,-100394000,-3133000,67705000,-740094000,557407000,15358000,0,0,None,19895000,19895000,None,None,None,None,0,None,11838000,-6266000,66280000
2011-03-31,-48180000,None,None,-17997000,111159000,21625000,13268000,101505000,708000,51602000,-28024000,80915000,1160000,287000,287000,None,19844000,19844000,None,None,None,None,-287000,None,11078000,6367000,50109000
2010-12-31,21133000,None,None,-31154000,16548000,21296000,16542000,26128000,-5327000,34370000,-16440000,-13014000,753000,21926000,21926000,None,23528000,18881000,None,None,209820000,None,-21926000,None,-10939000,-2618000,33461000
2010-09-30,92829000,None,None,13591000,17302000,20650000,14044000,2778000,11171000,56278000,-13893000,-71726000,1860000,2786000,2786000,None,18884000,18884000,None,None,None,None,-1969000,None,18415000,11205000,55050000
2010-06-30,166727000,None,None,None,None,20923000,16878000,None,33126000,62205000,-18340000,-146557000,None,None,None,None,18863000,18863000,None,None,None,None,1121000,None,-8203000,-10033000,61081000
