fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,918600000,911100000,None,None,None,154300000,319500000,None,None,356200000,-530300000,-639500000,35300000,None,486000000,None,155300000,155300000,None,None,0,None,-440600000,0,None,None,356200000
2023-09-30,1308700000,333500000,None,None,None,150900000,152900000,None,None,761500000,-91100000,-915500000,-467600000,None,410100000,None,155600000,155600000,None,None,0,None,-379200000,0,None,None,761500000
2023-06-30,1206400000,367900000,None,None,None,161000000,206100000,None,None,793700000,-184500000,-967700000,-674600000,None,234200000,None,156300000,156300000,None,None,0,None,-210300000,0,54200000,None,793700000
2023-03-31,88200000,169800000,None,None,None,156300000,209900000,None,None,477400000,-233400000,98100000,503000000,None,301700000,None,156500000,156500000,None,None,0,None,-290300000,0,-47100000,None,477400000
2022-12-31,641000000,744400000,None,None,None,143200000,233800000,-200200000,-666700000,386300000,-557100000,-18800000,29900000,None,132100000,None,155600000,155600000,None,None,0,None,-103700000,0,65100000,None,386300000
2022-09-30,639200000,349300000,None,None,None,81300000,174900000,None,-666700000,685100000,-576600000,-255600000,-1064000000,None,47600000,None,155800000,155800000,None,None,0,None,-35000000,0,-193000000,None,685100000
2022-06-30,613400000,247100000,None,None,None,78500000,129500000,None,None,577900000,-278300000,-423700000,276300000,None,296400000,None,156200000,156200000,None,None,0,None,-296400000,0,-88600000,None,577900000
2022-03-31,26300000,120000000,None,None,None,145200000,106300000,None,None,370800000,-195600000,415700000,972200000,None,407100000,None,150900000,150900000,None,None,0,None,-373500000,22000000,246400000,None,370800000
2021-12-31,193900000,611400000,None,None,None,134700000,123900000,-287800000,-228100000,1879700000,-249700000,-96300000,56000000,None,675800000,None,144200000,144200000,None,None,994800000,None,-604300000,0,1879700000,None,304000000
2021-09-30,849400000,289000000,None,None,None,76200000,96700000,None,-228100000,502200000,-154200000,-612400000,-54000000,None,431000000,None,145200000,145200000,None,None,0,None,-377900000,0,502200000,None,502200000
2021-06-30,1005600000,309400000,None,None,None,77800000,87100000,None,-228100000,648600000,-66100000,-1030500000,-56100000,None,870100000,None,145900000,145900000,None,None,0,None,-870100000,11700000,648600000,None,648600000
2021-03-31,195700000,98000000,None,None,None,146100000,64300000,None,-228100000,409600000,-6400000,-94800000,818000000,None,775400000,None,151800000,151800000,None,None,0,None,-737000000,0,94500000,None,409600000
2020-12-31,844800000,695000000,None,None,None,141700000,110000000,10300000,-75500000,2128700000,-145800000,-1103900000,-100000,None,1151600000,None,120200000,120200000,None,None,0,None,-979600000,125000000,2128700000,None,407000000
2020-09-30,1489200000,358800000,None,None,None,78700000,51500000,None,84400000,705800000,-29800000,-1030100000,-559500000,None,404400000,None,122200000,122200000,None,None,0,None,-346300000,0,705800000,None,705800000
2020-06-30,1019700000,100400000,None,None,None,77400000,35700000,None,84400000,595900000,-48900000,-1001800000,-494700000,None,0,None,122700000,122700000,None,None,0,None,47600000,0,595900000,None,595900000
2020-03-31,54900000,108900000,None,None,None,146500000,106600000,None,84400000,321700000,-97900000,115700000,849700000,None,890300000,None,122900000,122900000,None,None,999000000,None,-802900000,57400000,72700000,None,321700000
2019-12-31,659900000,308420000,None,None,None,138232000,104100000,-73200000,-75500000,1894000000,-174100000,-504700000,-231822000,None,201000000,None,105900000,105941000,None,None,-10000,None,-157578000,None,1894000000,None,248600000
