fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-01-31,406500000,15100000,None,-27900000,-123500000,56400000,156900000,19500000,-131800000,120400000,-3567500000,-428200000,413200000,100000,100000,None,112300000,112300000,None,None,800000000,None,-1300000,None,None,None,120400000
2023-10-31,176900000,12000000,None,-6700000,-14300000,41300000,148700000,-2600000,-4900000,194900000,-141800000,3349000000,0,400000,400000,None,108000000,108000000,None,None,0,None,800000,None,None,None,194900000
2023-07-31,217900000,13000000,None,-51500000,80100000,90300000,150300000,-6100000,81400000,183600000,-151900000,-481300000,0,372000000,372000000,None,105200000,105200000,None,None,0,None,-372000000,None,-415300000,None,183600000
2023-04-30,443800000,12400000,None,79500000,26700000,90000000,145100000,64100000,-20000000,-600700000,563000000,-455200000,-700000,359500000,359500000,None,108400000,108400000,None,None,0,None,-345700000,None,None,None,-600700000
2023-01-31,584600000,12700000,None,-25800000,-245900000,56000000,141900000,-76400000,-119200000,208500000,-97500000,-410600000,-303400000,100000,100000,None,108300000,108300000,None,None,0,None,1600000,None,208500000,None,208500000
2022-10-31,205000000,11800000,None,16300000,35300000,56000000,102100000,6900000,50800000,191100000,-137800000,-190700000,-88800000,100000,100000,None,108400000,108400000,None,None,0,None,5100000,None,191100000,None,191100000
2022-07-31,-39000000,81600000,None,82000000,306500000,111100000,88300000,80200000,223000000,109800000,-71500000,91900000,207000000,7800000,7800000,None,105100000,105100000,None,None,0,None,-6900000,None,-18600000,None,109800000
2022-04-30,393700000,17200000,None,167500000,84800000,111400000,173000000,-38200000,47700000,202100000,-223600000,-284100000,85900000,262700000,262700000,None,107000000,107000000,None,None,0,None,-262600000,None,-114000000,None,202100000
2022-01-31,439700000,11700000,None,10500000,-89000000,55800000,117300000,-94900000,-9800000,69700000,11100000,-321600000,-226100000,200000,200000,None,107000000,107000000,None,None,0,None,12000000,None,69700000,None,69700000
2021-10-31,165100000,11100000,None,-46100000,57000000,56000000,59200000,92700000,-5500000,206000000,-63000000,-115500000,-46200000,700000,700000,None,106900000,106900000,None,None,0,None,-700000,None,206000000,None,206000000
2021-07-31,137800000,11000000,None,-15400000,171200000,114400000,68000000,32900000,146300000,153900000,-80000000,-223300000,284000000,6800000,6800000,None,97200000,97200000,None,None,0,None,-2800000,None,-165500000,None,153900000
2021-04-30,291000000,26700000,None,85500000,22000000,111900000,108000000,-72400000,59500000,147000000,-108000000,-353300000,-84000000,174300000,174300000,None,98400000,98400000,None,None,0,None,-170500000,None,-170300000,None,147000000
2021-01-31,486300000,12100000,None,58100000,-12800000,57600000,69700000,26200000,-46600000,261500000,520000000,-914800000,-114100000,497900000,497900000,None,102400000,102400000,None,None,0,None,-497900000,None,261500000,None,261500000
2020-10-31,378700000,9900000,None,125100000,70100000,62100000,52400000,79300000,-1000000,230800000,-51700000,-318500000,-16100000,1600000,1600000,None,102300000,102300000,None,None,0,None,-900000,None,230800000,None,230800000
2020-07-31,409000000,10400000,None,48200000,43100000,116500000,76600000,-55100000,98500000,237000000,-49200000,-357300000,47800000,4600000,4600000,None,100100000,100100000,None,None,0,None,-4600000,None,2500000,None,237000000
2020-04-30,287700000,55000000,None,172700000,37900000,106200000,76400000,75800000,-60600000,788400000,-93900000,127400000,-63200000,-100000,-100000,None,100100000,100100000,None,None,798200000,None,200000,None,788400000,None,226300000
2020-01-31,521600000,-24300000,None,72500000,-92600000,60900000,56500000,-44900000,-54000000,187400000,-73400000,-420900000,-19700000,800000,800000,None,100100000,100100000,None,None,0,None,-800000,None,187400000,None,187400000
2019-10-31,224000000,12200000,None,-18200000,41600000,60900000,63400000,48600000,-100000,211200000,-52100000,-172600000,27100000,600000,600000,None,100100000,100100000,None,None,0,None,-600000,None,211200000,None,211200000
2019-07-31,221500000,13200000,None,2600000,65300000,111600000,73000000,-30400000,102100000,154600000,-52100000,-222600000,-130000000,2900000,2900000,None,96500000,96500000,None,None,0,None,4100000,None,-52500000,700000,154600000
2019-04-30,274200000,-122600000,None,48500000,-5700000,105100000,92600000,1600000,-13500000,692400000,-101400000,-274600000,-78000000,200000,200000,None,96500000,96500000,None,None,0,None,-200000,None,-105200000,-3400000,71500000
2019-01-31,421100000,24400000,None,-13700000,-103300000,61700000,88100000,-59800000,-41600000,121400000,-103900000,-282600000,114000000,200000,200000,None,96500000,96500000,None,None,0,None,-200000,None,35300000,700000,121400000
2018-10-31,202900000,84100000,None,22200000,57400000,61700000,77800000,58500000,-5300000,188500000,312600000,-534300000,-140000000,300000,300000,None,96500000,96500000,None,None,0,None,-300000,None,-20800000,-2000000,188500000
2018-07-31,243000000,23300000,None,53400000,96600000,113900000,101300000,52700000,65700000,133000000,-2031500000,1790500000,386000000,4700000,4700000,None,88400000,88400000,None,None,1500000000,None,-4700000,None,-600000,-2600000,133000000
2018-04-30,-1078100000,77900000,None,11900000,-63800000,93300000,111600000,-36100000,-52400000,690500000,-105800000,-196800000,-110000000,100000,100000,None,88900000,88900000,None,None,0,None,-100000,None,6400000,-5400000,185900000
2018-01-31,826600000,4700000,None,-30400000,-165300000,53600000,80300000,-60100000,-105200000,831300000,-65500000,-4100000,-210000000,200000,200000,None,88000000,88000000,None,None,799600000,None,-200000,None,5900000,6400000,831300000
2017-10-31,115700000,78900000,None,-29800000,66100000,53600000,60400000,48800000,32400000,194600000,-68200000,-4100000,180100000,100000,100000,None,88500000,88500000,None,None,0,None,-100000,None,-2900000,-3900000,194600000
2017-07-31,521200000,5400000,None,87800000,59600000,107900000,69600000,-7300000,71200000,126800000,-38100000,-260100000,-170100000,6600000,6600000,None,84900000,84900000,None,None,0,None,-6600000,None,16400000,10300000,126800000
2017-04-30,643000000,100000000,None,-20800000,-52100000,97000000,55800000,18100000,-88200000,110400000,-41600000,-193700000,312000000,418600000,418600000,None,87200000,87200000,None,None,0,None,-418600000,None,27200000,-1700000,110400000
2017-01-31,131500000,3100000,None,-34700000,-153100000,53700000,52600000,-96900000,-34100000,134600000,-51800000,-351300000,-264000000,200000,200000,None,87200000,87200000,None,None,0,None,-200000,None,17800000,1400000,134600000
2016-10-31,99600000,77700000,None,-35100000,26300000,53700000,33800000,-4400000,15400000,177300000,-33800000,-87900000,100000000,700000,700000,None,87100000,87100000,None,None,0,None,-700000,None,12200000,-2500000,177300000
2016-07-31,380500000,4400000,None,52900000,171500000,107600000,50200000,74300000,117300000,170000000,-62500000,-173200000,22000000,18100000,18100000,None,77800000,77800000,None,None,0,None,-18100000,None,-200000,-3400000,170000000
2016-04-30,841400000,83700000,None,-44800000,-92000000,102700000,40600000,-57100000,-48000000,191000000,-9000000,-366500000,146000000,433300000,433300000,None,80100000,80100000,None,None,0,None,-433300000,None,-30700000,9300000,191000000
2016-01-31,181100000,4200000,None,95900000,-175600000,52200000,43400000,-99500000,-84500000,185300000,126700000,-662300000,-232000000,400000,400000,None,80000000,80000000,None,None,0,None,-400000,None,1500000,-5200000,185300000
2015-10-31,97600000,78400000,None,14100000,-24100000,53000000,64400000,97700000,-99200000,176000000,200000000,-213100000,67400000,500000,500000,None,80100000,80100000,None,None,0,None,-500000,None,5400000,1000000,176000000
2015-07-31,436900000,8100000,None,-16700000,58900000,108700000,53000000,80800000,-8400000,136400000,-38100000,-254300000,76600000,6900000,6900000,None,76400000,76400000,None,None,0,None,-6900000,None,8000000,-4700000,136400000
2015-04-30,302200000,55300000,None,-36300000,-160000000,79000000,85600000,-87100000,-41800000,-90300000,-1342700000,1141600000,-38000000,9000000,9000000,None,65000000,65000000,None,None,0,None,-9000000,None,13900000,-6600000,-90300000
2015-01-31,142900000,18000000,None,-45800000,-186700000,25200000,48400000,-75400000,-113900000,160900000,-58900000,-350100000,-281900000,4000000,4000000,None,65100000,65100000,None,None,0,None,-4000000,None,6400000,-12300000,160900000
2014-10-31,146100000,12200000,None,-59500000,-37900000,25200000,64700000,57700000,-22900000,158300000,-142000000,11800000,75900000,700000,700000,None,65000000,65000000,None,None,0,None,-300000,None,-44100000,-5900000,158300000
2014-07-31,-8100000,29600000,None,-24100000,263400000,63200000,49000000,83000000,153300000,116000000,-52100000,59900000,221600000,10600000,10600000,None,58900000,58900000,None,None,0,None,-10200000,None,-4100000,-3800000,116000000
2014-04-30,266900000,60400000,None,85500000,35300000,62400000,130600000,-56500000,64900000,118500000,-113100000,-170300000,248400000,281500000,281500000,None,60600000,60600000,None,None,0,None,-281400000,None,-15100000,1400000,118500000
2014-01-31,144100000,22600000,None,-78000000,-251700000,24900000,65500000,-96900000,-154800000,166700000,-64300000,-329300000,-207000000,61500000,61500000,None,61000000,61000000,None,None,0,None,-61400000,None,18100000,-9400000,166700000
2013-10-31,130600000,22800000,None,2700000,62400000,24700000,47100000,103000000,-40600000,153400000,-150600000,59700000,122000000,100000,100000,None,61000000,61000000,None,None,0,None,100000,None,-7000000,-2000000,153400000
2013-07-31,82100000,23500000,None,2200000,159400000,61100000,36300000,44300000,115100000,126600000,-42300000,-135600000,85000000,165400000,165400000,None,55400000,55400000,None,None,0,None,-165300000,None,-98900000,-3100000,126600000
2013-04-30,172161000,107165000,None,2483000,16918000,60106000,59961000,-46188000,67700000,130322000,-59373000,-293799000,0,188700000,188710000,None,56325000,56300000,None,None,0,None,-188391000,None,-182400000,-1400000,130300000
