fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,1334000000,405000000,None,670000000,409000000,290000000,48000000,227000000,-448000000,644000000,-45000000,-1678000000,0,1301000000,1301000000,None,352000000,283000000,None,None,0,None,-1300000000,None,None,None,579000000
2023-09-30,1013000000,36000000,None,-25000000,-16000000,282000000,36000000,20000000,-33000000,814000000,-49000000,-855000000,-740000000,499000000,499000000,None,357000000,286000000,None,None,0,None,-494000000,None,None,None,742000000
2023-06-30,769000000,38000000,None,-146000000,133000000,285000000,31000000,67000000,-250000000,575000000,909000000,-1517000000,-158000000,1001000000,1001000000,None,350000000,288000000,None,None,0,None,-997000000,None,161000000,None,511000000
2023-03-31,594000000,39000000,None,-271000000,75000000,287000000,28000000,-23000000,None,860000000,-253000000,-230000000,710000000,500000000,500000000,None,368000000,290000000,None,None,0,None,-497000000,None,111000000,None,795000000
2022-12-31,1113000000,279000000,None,690000000,312000000,275000000,28000000,255000000,None,494000000,-61000000,-1198000000,187000000,1001000000,1001000000,None,545000000,275000000,None,None,0,None,-998000000,None,-146000000,None,433000000
2022-09-30,814000000,39000000,None,-137000000,131000000,298000000,21000000,96000000,97000000,678000000,-56000000,-2860000000,0,2500000000,2500000000,None,277000000,277000000,None,None,0,None,-2501000000,None,-2102000000,None,608000000
2022-06-30,454000000,43000000,None,-385000000,-164000000,303000000,24000000,-200000000,-33000000,1051000000,844000000,-2063000000,0,1500000000,1500000000,None,286000000,286000000,None,None,0,None,-1498000000,None,-765000000,None,972000000
2022-03-31,222000000,38000000,None,-225000000,-192000000,137000000,16000000,-187000000,318000000,1299000000,2901000000,-5205000000,-219000000,7003000000,7003000000,None,186000000,186000000,None,None,5395000000,None,-7000000000,None,-2082000000,None,1235000000
2021-12-31,940000000,161000000,None,367000000,286000000,41000000,2000000,266000000,207000000,736000000,-78000000,-241000000,0,0,0,None,413000000,186000000,None,None,0,None,3000000,None,621000000,None,675000000
2021-09-30,967000000,32000000,None,-11000000,26000000,41000000,8000000,31000000,None,861000000,-9000000,-246000000,0,0,0,None,186000000,186000000,None,None,0,None,3000000,None,849000000,None,797000000
2021-06-30,923000000,33000000,None,-98000000,-73000000,45000000,7000000,-88000000,None,857000000,-9000000,-233000000,0,0,0,None,185000000,185000000,None,None,0,None,4000000,None,847000000,None,798000000
