fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,768745000,171937000,None,-323905000,-384047000,4563000,175433000,-259395000,-86627000,415242000,-1125012000,711481000,200000000,99973000,99973000,None,252708000,252708000,None,None,1005659000,None,-60025000,None,None,None,415242000
2023-09-30,87152000,94065000,None,-184501000,510910000,4554000,171364000,284826000,184674000,503392000,-379924000,66276000,300000000,99974000,99974000,None,252880000,252880000,None,None,126816000,None,-82575000,0,None,None,503392000
2023-06-30,1441820000,None,None,None,None,229773000,318869000,134733000,149898000,733736000,-303259000,-1032924000,0,122293000,0,None,248607000,248607000,None,None,74715000,None,0,0,105637000,None,733736000
2023-03-31,922316000,None,None,None,None,224071000,164792000,-318182000,50533000,429604000,-161946000,-495578000,None,110073000,None,None,249055000,249055000,None,None,34238000,None,-110073000,None,264792000,None,429604000
2022-12-31,344860000,160520000,None,-854815000,-482022000,60764000,142404000,-489395000,-60602000,141216000,-144573000,-127122000,58000000,0,0,None,249029000,249029000,None,None,80961000,None,22778000,0,73165000,None,141216000
2022-09-30,158606000,84010000,None,336845000,901808000,5435000,167260000,576585000,283252000,465568000,-174835000,-400352000,97000000,267727000,267727000,None,249294000,249294000,None,None,59063000,None,-243166000,None,-416581000,None,465568000
2022-06-30,1045415000,173600000,None,461817000,45541000,606036000,305267000,63043000,63811000,509989000,-294885000,-745964000,0,84001000,84001000,None,239072000,239072000,None,None,-3277000,None,83181000,None,4566000,None,509989000
2022-03-31,368824000,198560000,None,681697000,862176000,32705000,146161000,522948000,286891000,303325000,-642499000,-213367000,None,0,0,None,238479000,238479000,None,None,1489000,None,53102000,None,-487042000,None,303325000
2021-12-31,266235000,33405000,None,-264553000,7281000,32072000,96355000,-93492000,63391000,167441000,-152217000,-789836000,0,415824000,415824000,None,240825000,240825000,None,None,1249992000,None,-397622000,None,-675818000,None,167441000
2021-09-30,110812000,225031000,None,306839000,825513000,33798000,85019000,478671000,294517000,378013000,-788605000,-237731000,0,0,0,None,240561000,240561000,None,None,3000,None,17881000,None,-915524000,None,378013000
2021-06-30,424058000,636934000,None,769755000,983129000,597197000,219509000,531942000,468880000,151093000,-182925000,-2138496000,-414982000,0,0,None,228313000,228313000,None,None,-1459000,None,148543000,None,-1897363000,None,151093000
2021-03-31,543106000,95827000,None,809291000,521942000,32722000,87223000,322524000,119870000,88927000,-82015000,-1333671000,-417663000,0,0,None,230534000,230534000,None,None,-1151000,None,45596000,None,88927000,None,88927000
