fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-02-03,3289000000,None,None,-1904000000,-2968000000,729000000,854000000,None,-2845000000,1385000000,-850000000,-544000000,0,0,0,None,508000000,508000000,None,None,0,None,0,None,None,None,1382000000
2023-10-28,1934000000,None,None,2288000000,2317000000,722000000,1127000000,None,2047000000,971000000,-1089000000,-552000000,0,0,0,None,507000000,507000000,None,None,0,None,0,None,None,None,971000000
2023-07-29,2133000000,None,None,523000000,40000000,683000000,1220000000,None,68000000,835000000,-1219000000,-618000000,-90000000,0,0,None,499000000,499000000,None,None,0,None,0,None,296000000,None,835000000
2023-04-29,1265000000,None,None,-1396000000,-917000000,667000000,1605000000,None,-883000000,950000000,-1602000000,-571000000,90000000,0,0,None,497000000,497000000,None,None,None,None,-118000000,None,-908000000,None,950000000
2023-01-28,3466000000,None,None,-2059000000,-3845000000,696000000,1205000000,None,-3618000000,876000000,-1201000000,-990000000,None,180000000,1000000,None,497000000,497000000,None,None,1634000000,None,1000000,None,1275000000,None,876000000
2022-10-29,599000000,None,None,626000000,1823000000,675000000,1800000000,None,1797000000,712000000,-1785000000,1023000000,559000000,0,4000000,None,497000000,497000000,None,None,0,None,-4000000,None,-163000000,None,712000000
2022-07-30,1347000000,None,None,637000000,330000000,650000000,1571000000,None,237000000,183000000,-1570000000,228000000,600000000,2636000000,2640000000,None,418000000,418000000,None,None,None,None,-2639000000,None,5000000,None,183000000
2022-04-30,-1394000000,None,None,-2065000000,1267000000,679000000,952000000,None,1181000000,1009000000,-948000000,-2457000000,945000000,10000000,181000000,None,424000000,424000000,None,None,0,None,-180000000,None,-4799000000,None,1009000000
2022-01-29,3028000000,None,None,-680000000,-1095000000,690000000,1061000000,None,-1056000000,1544000000,-1064000000,-1806000000,None,2314000000,2314000000,None,432000000,432000000,None,None,1972000000,None,-2311000000,None,158000000,None,1544000000
2021-10-30,2175000000,None,None,3704000000,3819000000,652000000,1145000000,None,3699000000,1488000000,-1118000000,-2672000000,0,2192000000,2192000000,None,440000000,440000000,None,None,0,None,-2192000000,None,1488000000,None,1488000000
2021-07-31,2283000000,None,None,476000000,712000000,633000000,798000000,None,720000000,1817000000,-807000000,-1924000000,0,1540000000,1540000000,None,336000000,336000000,None,None,0,None,-1537000000,None,1817000000,None,1817000000
2021-05-01,1139000000,None,None,-1618000000,-109000000,667000000,540000000,None,-114000000,2097000000,-165000000,-1669000000,0,1310000000,1310000000,None,340000000,340000000,None,None,None,None,-1308000000,None,-695000000,None,2097000000
2021-01-30,3481000000,None,None,-423000000,-2096000000,637000000,640000000,None,-2059000000,1380000000,-606000000,-360000000,None,4000000,4000000,None,341000000,341000000,None,None,0,None,1000000,None,2515000000,None,1380000000
2020-10-31,1928000000,None,None,3662000000,3996000000,603000000,595000000,None,3836000000,1014000000,-583000000,-2633000000,0,35000000,35000000,None,340000000,340000000,None,None,0,None,-24000000,None,1014000000,None,1014000000
2020-08-01,3832000000,None,None,1727000000,317000000,604000000,663000000,None,292000000,1690000000,-658000000,-456000000,None,20000000,20000000,None,330000000,330000000,None,None,0,None,-17000000,None,1690000000,None,1690000000
2020-05-02,1284000000,None,None,-110000000,-419000000,641000000,751000000,None,-408000000,284000000,-744000000,1449000000,None,686000000,686000000,None,332000000,332000000,None,None,2480000000,None,-682000000,None,1989000000,None,284000000
2020-02-01,2958000000,None,None,-1013000000,-2432000000,699000000,624000000,None,-2404000000,833000000,-584000000,-766000000,None,606000000,1115000000,None,335000000,335000000,None,None,745000000,None,-598000000,None,1608000000,None,834000000
2019-11-02,1347000000,None,None,2210000000,2348000000,638000000,1009000000,None,2274000000,706000000,-976000000,-1058000000,None,297000000,450000000,None,337000000,337000000,None,None,0,None,-256000000,None,706000000,None,714000000
2019-08-03,2489000000,None,None,825000000,16000000,623000000,739000000,None,63000000,938000000,-735000000,-1271000000,None,342000000,-400000000,None,328000000,328000000,None,None,0,None,-330000000,None,938000000,None,938000000
2019-05-04,323000000,None,None,-1683000000,-455000000,644000000,655000000,None,-438000000,792000000,-649000000,-57000000,None,320000000,400000000,None,330000000,330000000,None,None,994000000,None,-308000000,None,792000000,None,795000000
2019-02-02,2349000000,None,None,-1924000000,-2737000000,648000000,643000000,None,-2896000000,798000000,-597000000,-1021000000,None,639000000,1674000000,None,334000000,334000000,None,None,0,None,-1669000000,None,731000000,None,799000000
2018-11-03,900000000,None,None,2952000000,3422000000,592000000,1017000000,None,3281000000,616000000,-981000000,-274000000,None,531000000,-75000000,None,336000000,336000000,None,None,0,None,116000000,None,-355000000,None,622000000
2018-08-04,2210000000,None,None,1125000000,485000000,603000000,1029000000,None,460000000,799000000,-1020000000,-1070000000,None,430000000,100000000,None,331000000,331000000,None,None,0,None,-66000000,None,799000000,None,799000000
2018-05-05,514000000,None,None,-937000000,29000000,631000000,827000000,None,55000000,717000000,-818000000,-1279000000,None,524000000,425000000,None,334000000,334000000,None,None,0,None,-409000000,None,717000000,None,718000000
