fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,-157400000,None,None,None,None,41100000,81900000,None,None,473600000,90100000,-461400000,None,113200000,113200000,None,279700000,279700000,None,None,None,None,-113200000,None,None,None,437600000
2023-09-30,470000000,None,None,None,None,38500000,93600000,None,None,439200000,174000000,-297200000,None,90800000,90800000,None,279600000,279600000,None,None,None,None,-90800000,None,None,None,453200000
2023-06-30,394800000,None,None,None,None,28600000,71700000,None,None,481200000,-78400000,-175800000,None,42200000,42200000,None,280200000,280200000,None,None,None,None,-42200000,None,140600000,None,476400000
2023-03-31,511700000,None,None,None,None,26000000,60700000,None,None,441700000,-57500000,-144200000,None,8200000,8200000,None,282200000,282200000,None,None,None,None,-8200000,None,310000000,None,421500000
2022-12-31,-135200000,None,None,None,None,117500000,60400000,None,None,289600000,28000000,-460200000,None,121900000,121900000,None,275000000,275000000,None,None,None,None,-121900000,None,-567400000,None,266000000
2022-09-30,767600000,None,None,None,None,56800000,54400000,None,None,357800000,-43800000,-485700000,None,217500000,217500000,None,276200000,276200000,None,None,None,None,-217500000,None,238100000,None,384400000
2022-06-30,623600000,None,None,None,None,54700000,67900000,None,None,287800000,-29500000,-486900000,None,190300000,190300000,None,277000000,277000000,None,None,None,None,-190300000,None,107200000,None,339600000
2022-03-31,1103400000,None,None,None,None,54500000,54900000,None,None,514400000,3800000,-644100000,None,320100000,320100000,None,279200000,279200000,None,None,None,None,-320100000,None,463100000,None,567900000
2021-12-31,361300000,None,None,None,None,53700000,60400000,None,None,733600000,-1155700000,-1097700000,None,645400000,645400000,None,247900000,247900000,None,None,None,None,-645400000,None,-1892100000,None,740600000
2021-09-30,1288700000,None,None,None,None,51700000,56900000,None,None,757400000,51900000,-1398400000,None,181700000,181700000,None,948900000,948900000,None,None,None,None,-181700000,None,757400000,None,777200000
2021-06-30,807300000,None,None,None,None,50400000,63000000,None,None,842700000,36500000,-185200000,None,52200000,52200000,None,252800000,252800000,None,None,None,None,-52200000,None,842700000,None,815700000
2021-03-31,994700000,None,None,None,None,49000000,58800000,None,None,764800000,-30800000,-307500000,None,259200000,259200000,None,252300000,252300000,None,None,None,None,-259200000,None,656400000,None,749400000
2020-12-31,2000000,None,None,None,None,45600000,59200000,None,None,929600000,16800000,-67000000,None,43400000,43400000,None,210100000,210100000,None,None,None,None,-43400000,None,929600000,None,783400000
2020-09-30,276200000,None,None,None,None,49700000,50100000,None,None,698600000,-55500000,-108200000,None,131400000,131400000,None,210000000,210000000,None,None,None,None,-131400000,None,698600000,None,643200000
2020-06-30,853000000,None,None,None,None,48200000,59300000,None,None,728500000,-25200000,-318800000,None,135800000,135800000,None,210500000,210500000,None,None,None,None,-135800000,None,728500000,None,603000000
2020-03-31,787700000,None,None,None,None,46100000,46000000,None,None,166600000,27600000,-992300000,None,891300000,891300000,None,215200000,215200000,None,None,None,None,-891300000,None,-177000000,None,343100000
2019-12-31,22000000,6800000,None,None,None,59100000,55700000,None,None,593900000,-247800000,-209700000,None,129800000,129800000,None,183500000,183500000,None,None,None,None,-129800000,None,593900000,None,545300000
2019-09-30,551900000,5800000,None,None,None,45700000,54400000,None,None,545100000,-47600000,-121500000,None,173200000,173200000,None,182600000,182600000,None,None,None,None,-173200000,None,545100000,-1800000,545900000
2019-06-30,370100000,None,None,None,None,44100000,46800000,None,None,555900000,4700000,-195500000,None,171800000,171800000,None,183200000,183200000,None,None,None,None,-171800000,None,555900000,300000,527500000
2019-03-31,578700000,None,None,None,None,41900000,47700000,None,None,554000000,-33800000,-306000000,None,231000000,231000000,None,184600000,184600000,None,None,None,None,-231000000,None,238200000,-700000,512600000
2018-12-31,133500000,None,None,None,None,44600000,47000000,12700000,None,272000000,-45100000,-776400000,None,547400000,547400000,None,172000000,172000000,None,None,None,None,-547400000,None,-701000000,-13000000,351900000
2018-09-30,557100000,None,None,None,None,40200000,42900000,None,None,581600000,113600000,-74900000,None,92700000,92700000,None,173600000,173600000,None,None,None,None,-92700000,None,600000000,4200000,583000000
2018-06-30,408300000,None,None,None,None,37800000,41900000,None,None,459600000,-424200000,-146100000,None,159000000,159000000,None,173900000,173900000,None,None,None,None,-159000000,None,-169900000,-7900000,448900000
2018-03-31,521000000,None,None,None,12900000,36900000,36700000,None,None,455500000,-519800000,-242100000,None,291300000,291300000,None,174800000,174800000,None,None,None,None,-291300000,None,-239600000,1300000,453700000
2017-12-31,-123300000,None,None,None,190400000,36700000,57000000,-100800000,None,386600000,-36400000,190900000,None,1400000,1400000,None,142300000,142300000,None,None,None,None,-1400000,None,29600000,-1600000,347100000
2017-09-30,213600000,None,None,None,0,35000000,46500000,None,None,404200000,-62200000,205800000,None,9800000,9800000,None,140400000,140400000,None,None,None,None,-9800000,None,360300000,3100000,390900000
2017-06-30,-49300000,None,None,None,-437300000,36300000,35700000,None,None,390000000,108200000,-81200000,None,140800000,140800000,None,139500000,139500000,None,None,None,None,-140800000,None,-15100000,7200000,373900000
2017-03-31,188500000,None,None,None,566300000,35600000,46900000,None,None,400400000,29400000,146000000,None,306100000,306100000,None,140900000,140900000,None,None,None,None,-306100000,None,360500000,-3400000,385900000
2016-12-31,-97700000,None,None,None,223100000,33400000,35800000,None,None,366800000,-4100000,-131100000,None,151200000,151200000,None,134200000,134200000,None,None,None,None,-151200000,None,-216800000,16100000,379800000
2016-09-30,282400000,None,None,None,366900000,34000000,33300000,None,None,362700000,-51700000,-129100000,None,281700000,281700000,None,135000000,135000000,None,None,None,None,-281700000,None,104700000,3100000,327800000
2016-06-30,-86700000,None,None,None,258500000,33800000,44000000,None,None,211200000,-45800000,134600000,None,37300000,37300000,None,135700000,135700000,None,None,None,None,-37300000,None,-17800000,-19900000,203300000
2016-03-31,72500000,None,None,None,458700000,32200000,35200000,None,None,313300000,207800000,-50800000,None,206700000,206700000,None,135900000,135900000,None,None,None,None,-206700000,None,228100000,-1400000,304100000
2015-12-31,136900000,None,None,None,8300000,31900000,36700000,-3200000,None,303200000,157600000,-286600000,None,167100000,167100000,None,131800000,131800000,None,None,None,None,-167100000,None,7900000,0,303200000
2015-09-30,506900000,None,None,None,5000000,33100000,34700000,None,None,277100000,-14700000,-597000000,None,466900000,466900000,None,132700000,132700000,None,None,None,None,-466900000,None,-104800000,0,277100000
2015-06-30,342900000,None,None,None,0,32200000,38600000,None,None,333200000,200000,-884300000,None,240200000,240200000,None,659100000,659100000,None,None,None,None,-240200000,None,-541200000,0,333200000
