fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,239100000,10700000,None,None,None,35900000,108700000,None,None,137000000,-108800000,-189500000,None,177000000,177000000,None,14800000,14800000,None,None,None,None,-173900000,None,None,None,137000000
2023-09-30,230100000,4500000,None,None,None,35700000,95800000,None,None,161300000,-95700000,-22300000,0,27800000,27800000,None,14000000,14000000,None,None,0,None,-7400000,None,None,None,161300000
2023-06-30,169200000,5000000,None,None,None,34100000,75400000,None,None,150100000,-82100000,-176800000,0,173400000,173400000,None,14100000,14100000,None,None,0,None,-161200000,None,-89700000,None,155100000
2023-03-31,138100000,4900000,None,None,None,31600000,82100000,None,None,140000000,-82100000,-71000000,0,60100000,60100000,None,14100000,14100000,None,None,0,None,-44800000,None,-15000000,None,140000000
2022-12-31,230800000,10500000,None,None,None,31100000,94900000,-35600000,-49800000,103000000,-94800000,-9500000,0,-100000,-100000,None,14100000,14100000,None,None,0,None,5100000,None,126500000,None,103000000
2022-09-30,168900000,3700000,None,None,None,29800000,57800000,None,-49800000,120600000,-59100000,-75200000,0,27200000,27200000,None,13500000,13500000,None,None,0,None,-18800000,None,34600000,None,120600000
2022-06-30,173100000,3100000,None,None,None,30100000,66100000,None,None,188500000,-66000000,-36200000,0,28600000,28600000,None,13100000,13100000,None,None,0,None,-22100000,None,70900000,None,188500000
2022-03-31,151200000,3600000,None,None,None,29600000,65800000,None,None,173800000,-68300000,-172700000,0,147100000,147100000,None,13400000,13400000,None,None,0,None,-138800000,None,-89800000,None,173800000
2021-12-31,160800000,11300000,None,None,None,34400000,76500000,-123500000,-86000000,147700000,-77400000,-6200000,0,0,0,None,13300000,13300000,None,None,0,None,8300000,None,74600000,-2600000,147700000
2021-09-30,190100000,2900000,None,None,None,30000000,65300000,None,-86500000,175600000,-65300000,-5800000,0,0,0,None,12600000,12600000,None,None,0,None,7100000,None,172800000,-7200000,175600000
