fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,13682000000,6000000,None,None,None,7740000000,6228000000,None,None,8012000000,-5714000000,-9555000000,-657000000,4656000000,4656000000,None,3859000000,3839000000,None,None,134000000,None,-4656000000,None,None,None,7630000000
2023-09-30,15963000000,283000000,None,None,None,4415000000,4920000000,None,None,9346000000,-4279000000,-8059000000,-50000000,4412000000,4412000000,None,3881000000,3663000000,None,None,669000000,None,-4412000000,0,None,None,9070000000
2023-06-30,9383000000,39000000,None,None,None,4242000000,5359000000,None,None,8153000000,-4356000000,-8176000000,-46000000,4340000000,4340000000,None,3879000000,3701000000,None,None,116000000,None,-4340000000,0,-3149000000,None,7880000000
2023-03-31,16341000000,256000000,None,None,None,4244000000,5412000000,None,None,11843000000,-4925000000,-8507000000,-126000000,4340000000,4340000000,None,3853000000,3738000000,None,None,20000000,None,-4340000000,0,2909000000,None,11430000000
2022-12-31,17621000000,6000000,None,None,None,5064000000,5783000000,-11019000000,-6947000000,13055000000,-5355000000,-13937000000,-3982000000,4675000000,4675000000,None,3843000000,3767000000,None,None,582000000,None,-4675000000,0,-1671000000,None,12750000000
2022-09-30,24425000000,308000000,None,None,None,5642000000,4876000000,None,-6947000000,20198000000,-2378000000,-9793000000,-1559000000,4494000000,4494000000,None,3753000000,3685000000,None,None,55000000,None,-4494000000,0,12254000000,None,19660000000
2022-06-30,19963000000,33000000,None,None,None,4451000000,3837000000,None,None,18574000000,-3064000000,-8671000000,-238000000,3919000000,3919000000,None,3790000000,3727000000,None,None,0,None,-3919000000,0,8228000000,None,17850000000
2022-03-31,14788000000,319000000,None,None,None,8883000000,3911000000,None,None,5750000000,-3945000000,-6713000000,-2098000000,2067000000,2067000000,None,3820000000,3760000000,None,None,0,None,-2067000000,0,4130000000,None,5480000000
2021-12-31,17124000000,64000000,None,None,None,5661000000,4089000000,-12098000000,-489000000,9079000000,-2110000000,-12959000000,-4840000000,154000000,154000000,None,3821000000,3763000000,None,None,0,None,-154000000,0,2055000000,None,8870000000
2021-09-30,12091000000,97000000,None,None,None,4990000000,2840000000,None,-489000000,6942000000,-3054000000,-7657000000,-3531000000,0,0,None,3774000000,3720000000,None,None,46000000,None,0,0,11835000000,None,6750000000
2021-06-30,9650000000,94000000,None,None,None,4952000000,2747000000,None,-489000000,4781000000,-2716000000,-7022000000,-3270000000,0,0,None,3781000000,3721000000,None,None,0,None,0,0,9639000000,None,4690000000
2021-03-31,9264000000,535000000,None,None,0,5004000000,2400000000,None,0,2796000000,-2355000000,-7785000000,-5068000000,1000000,1000000,None,3772000000,3720000000,None,None,0,None,-1000000,0,-876000000,None,2730000000
2020-12-31,4005000000,107000000,None,None,-5428000000,30291000000,3629000000,5384000000,376000000,-20603000000,-3302000000,-5283000000,-12852000000,100000000,100000000,None,3766000000,3715000000,None,None,0,None,-100000000,0,-4580000000,None,-20070000000
2020-09-30,4389000000,436000000,None,None,115000000,4983000000,3291000000,None,115000000,-709000000,-3709000000,-4494000000,12767000000,0,0,None,3760000000,3716000000,None,None,0,None,0,0,4274000000,None,-680000000
2020-06-30,0,-23000000,None,None,2069000000,4916000000,4417000000,None,2069000000,-1169000000,-5081000000,6277000000,-85000000,0,0,None,3763000000,3715000000,None,None,14720000000,None,0,0,3747000000,None,-1080000000
2020-03-31,6274000000,313000000,None,None,-2245000000,5819000000,5945000000,None,-2245000000,-770000000,-6367000000,8785000000,-1533000000,305000000,305000000,None,3764000000,3719000000,None,None,8466000000,None,-305000000,0,8692000000,None,-610000000
2019-12-31,6352000000,45000000,None,None,2802000000,4923000000,6704000000,-2640000000,-72000000,5730000000,-4264000000,-4456000000,-207000000,173000000,173000000,None,3751000000,3716000000,None,None,33000000,None,-173000000,0,-2368000000,None,5690000000
