fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,3777000000,3777000000,5330000000,None,3777000000,875000000,None,1385000000,None,-47000000,None,47000000,3385000000,1000000,None,None,289000000,21000000,47000000,268000000,508000000,336000000,None,268000000
2023-09-30,242000000,4950000000,4708000000,None,1298000000,785000000,None,1285000000,None,-49000000,49000000,49000000,3423000000,3000000,None,-1854000000,1805000000,236000000,49000000,1569000000,3147000000,1854000000,1805000000,1569000000
2023-06-30,91000000,5172000000,5081000000,1000000,1139000000,728000000,None,1249000000,None,-51000000,51000000,51000000,2979000000,35000000,None,-1876000000,1825000000,191000000,51000000,1634000000,1574000000,1876000000,1825000000,1634000000
2023-03-31,-482000000,4800000000,5282000000,None,1133000000,775000000,None,1308000000,None,-48000000,48000000,48000000,3705000000,0,None,-1390000000,1342000000,154000000,48000000,1188000000,339000000,1390000000,1375000000,1188000000
2022-12-31,-1226000000,3948000000,5236000000,275000000,750000000,837000000,None,1717000000,None,-55000000,55000000,55000000,3948000000,-1000000,None,-14000000,273000000,342000000,55000000,185000000,-12725000000,328000000,579000000,-21000000
2022-09-30,-916000000,4704000000,5736000000,None,1106000000,779000000,None,1299000000,None,-59000000,59000000,59000000,3160000000,1000000,None,-1388000000,1329000000,-452000000,59000000,1596000000,1256000000,1388000000,1162000000,1781000000
2022-06-30,-265000000,5315000000,5665000000,None,1141000000,802000000,None,1333000000,None,-55000000,55000000,55000000,3291000000,0,None,None,1708000000,314000000,55000000,1388000000,2865000000,1763000000,1756000000,1394000000
2022-03-31,-859000000,5173000000,6131000000,None,1161000000,833000000,None,1396000000,None,-56000000,56000000,56000000,3712000000,-1000000,None,322000000,1294000000,247000000,56000000,1032000000,1007000000,1350000000,1332000000,1047000000
2021-12-31,-1039000000,5436000000,6475000000,None,994000000,962000000,None,1624000000,None,-57000000,57000000,57000000,3993000000,-8000000,None,-10000000,1232000000,193000000,57000000,1039000000,770000000,1289000000,1289000000,1039000000
2021-09-30,-1132000000,5237000000,6369000000,None,1293000000,869000000,None,1515000000,None,-57000000,57000000,57000000,4198000000,-8000000,None,869000000,1113000000,225000000,57000000,888000000,531000000,1170000000,1170000000,888000000
2021-06-30,-910000000,5564000000,6474000000,None,1341000000,881000000,None,1538000000,None,-62000000,62000000,62000000,4345000000,-53000000,None,None,1373000000,268000000,62000000,1105000000,2317000000,1435000000,1435000000,1105000000
2021-03-31,-751000000,5869000000,6620000000,None,1306000000,832000000,None,1531000000,None,-62000000,62000000,62000000,4306000000,-7000000,None,311000000,1603000000,310000000,62000000,1293000000,-834000000,1665000000,1665000000,1293000000
2020-12-31,5913000000,5913000000,7339000000,None,961000000,1038000000,None,2817000000,None,-61000000,61000000,61000000,4653000000,-12000000,None,300000,1217000000,265000000,61000000,951000000,1969000000,1278000000,1278000000,952000000
2020-09-30,-1450000000,5665000000,7115000000,None,1037000000,847000000,None,1172000000,None,-63000000,63000000,63000000,4761000000,-1000000,None,914000,1153000000,-1303000000,63000000,2456000000,3623000000,1216000000,1216000000,2456000000
