fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,-704052000,2356165000,3060217000,3046848000,-849866000,194251000,22753000,166820000,None,-73460000,None,73460000,111090000,-36699000,None,6671000,-498802000,118878000,34386000,-700359000,-445234000,-849866000,-418671000,-617680000
2023-09-30,54934000,2310596000,2255662000,2255662000,-140014000,173866000,21082000,206677000,None,-1616000,29332000,1616000,0,11182000,None,1686000,293982000,-8551000,29332000,320693000,119507000,-140014000,297284000,302533000
2023-06-30,558487000,2370190000,1811703000,1811703000,139998000,397070000,21419000,426926000,None,-1635000,25577000,1635000,0,53954000,None,1935000,693030000,42987000,25577000,676439000,645434000,139998000,696600000,650043000
2023-03-31,1276540000,2580252000,1303712000,1303712000,1101763000,154306000,20471000,188164000,None,-1059000,26777000,1059000,0,82492000,None,8279000,1515543000,276963000,26777000,1276703000,1285905000,1101763000,1524881000,1238580000
2022-12-31,1001319000,2620978000,1619659000,1619659000,833009000,148156000,20154000,185602000,None,-32085000,24039000,32085000,-21800000,54119000,None,8281000,1156547000,24102000,24039000,1036471000,1289092000,833009000,1196913000,1132445000
2022-09-30,1043814000,2091805000,1047991000,1047991000,890977000,134479000,18358000,155934000,None,-826000,29691000,826000,0,7974000,None,952000,1094153000,196938000,29691000,931206000,687044000,890977000,1095931000,897215000
2022-06-30,580424000,1479593000,899169000,899169000,434096000,128942000,17386000,152675000,None,-840000,41409000,840000,0,8767000,None,972000,495791000,89018000,41409000,440592000,293254000,434096000,497603000,406773000
2022-03-31,449030000,1127728000,678698000,678698000,311979000,112568000,16083000,145226000,None,-853000,27834000,853000,-8400000,15496000,None,6451000,333913000,80530000,27834000,281547000,252214000,311979000,341217000,253383000
2021-12-31,236594000,894204000,657610000,657610000,-31286000,123302000,12125000,277048000,None,-50781000,5306000,50781000,-132353000,28530000,None,6337000,11200000,15024000,5306000,-65801000,-29838000,-31286000,68318000,-3824000
2021-09-30,249273000,830566000,581293000,581293000,131523000,103477000,13289000,118657000,None,-722000,5136000,722000,-984000,-643196000,None,153000,-507451000,-114670000,5136000,-374433000,-431216000,131523000,-506576000,-392781000
