fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,369800000,987000000,819100000,618300000,195100000,185000000,None,298300000,None,-1100000,None,1100000,988100000,-3600000,None,20800000,176900000,39600000,1100000,137300000,143200000,178000000,202000000,137300000
2023-09-30,356200000,935100000,756200000,581300000,193200000,174900000,None,174900000,None,-2400000,None,2400000,937500000,-2500000,None,19400000,176400000,41000000,2400000,135400000,127700000,178800000,181300000,135400000
2023-06-30,384700000,956300000,756400000,576100000,227400000,180300000,None,180300000,None,-4500000,None,4500000,960800000,9000000,None,18900000,208900000,51900000,4500000,157000000,154600000,213400000,232300000,157000000
2023-03-31,374100000,962400000,795100000,592300000,193900000,187200000,None,202800000,None,-4000000,None,4000000,966400000,4000000,None,19200000,171300000,44400000,4000000,126900000,129300000,175300000,210100000,126900000
2022-12-31,348600000,932700000,769200000,587500000,-156100000,168900000,89000000,270700000,None,-3400000,None,3400000,936100000,-419200000,None,20400000,-242900000,-122800000,3400000,-120100000,165600000,-239500000,-219100000,-120100000
2022-09-30,305000000,871800000,724700000,569200000,163600000,155500000,None,155500000,None,-2400000,None,2400000,874200000,-2400000,None,18200000,144700000,34900000,2400000,109800000,88100000,147100000,165300000,109800000
2022-06-30,334400000,963800000,798200000,631500000,178000000,166700000,None,166700000,None,-2100000,None,2100000,965900000,-300000,None,18000000,165300000,39100000,2100000,126200000,107400000,167400000,185400000,126200000
2022-03-31,341600000,976200000,815900000,636100000,176500000,179800000,None,179800000,None,-1500000,None,1500000,977700000,-3700000,None,20300000,156600000,36800000,1500000,119800000,123600000,158100000,178400000,119800000
2021-12-31,360600000,994100000,831400000,634900000,197300000,184200000,None,290700000,None,-1400000,None,1400000,995500000,6800000,None,19900000,181800000,42200000,1400000,139600000,117500000,183200000,203100000,139600000
2021-09-30,340300000,913600000,751900000,574300000,178500000,177600000,None,177600000,None,-1000000,None,1000000,914600000,4700000,None,19000000,166400000,34800000,1000000,131600000,133500000,167400000,186400000,131600000
2021-06-30,321400000,858900000,711500000,538400000,164000000,173100000,None,173100000,None,-900000,None,900000,859800000,3900000,None,19500000,151300000,33100000,900000,118200000,127800000,152200000,171700000,118200000
2021-03-31,288600000,768000000,646900000,480400000,142200000,166500000,None,166500000,None,-1000000,None,1000000,769000000,5000000,None,19500000,126100000,28400000,1000000,97700000,98100000,127100000,146600000,97700000
2020-12-31,324100000,834500000,696100000,510400000,169200000,171200000,None,266400000,None,-1000000,None,1000000,834500000,0,None,19300000,151900000,31900000,1000000,324100000,135300000,152900000,172200000,120000000
2020-09-30,297100000,758400000,623900000,462900000,149800000,159400000,None,161000000,None,-1600000,None,1600000,760000000,2800000,None,20700000,137300000,31900000,1600000,105400000,124700000,138900000,161200000,105400000
2020-06-30,247500000,661400000,578400000,416400000,99300000,155900000,None,162000000,None,-2500000,None,2500000,663900000,4000000,None,19900000,87000000,19200000,2500000,67800000,74400000,89500000,95600000,67800000
2020-03-31,239500000,634700000,571200000,397400000,84900000,173800000,None,173800000,None,-2200000,None,2200000,636900000,4200000,None,20100000,67700000,16000000,2200000,51700000,37600000,69900000,90000000,51700000
2019-12-31,295000000,750900000,651600000,455900000,129900000,179900000,None,283600000,None,-2500000,None,2500000,750900000,2900000,None,20200000,115500000,24200000,2500000,295000000,104600000,118000000,138200000,91300000
2019-09-30,284200000,725100000,616300000,444000000,125700000,172300000,None,172300000,None,-3100000,None,3100000,728200000,4000000,None,19700000,112800000,25500000,3100000,87300000,64100000,115900000,135600000,87300000
2019-06-30,308700000,762000000,635400000,456700000,145200000,178700000,None,178700000,None,-3400000,None,3400000,765400000,5600000,None,18200000,132200000,30100000,3400000,102100000,95800000,135600000,153800000,102100000
2019-03-31,292800000,746200000,640100000,455400000,128300000,184700000,None,184700000,None,-2000000,None,2000000,748200000,5500000,None,20200000,111600000,22300000,2000000,89300000,108000000,113600000,133800000,89300000
2018-12-31,337000000,812500000,682600000,475500000,167100000,186100000,None,301100000,None,-1800000,None,1800000,812500000,5700000,None,18700000,154800000,28500000,1800000,337000000,93700000,156600000,175300000,126300000
2018-09-30,306000000,752100000,625700000,448100000,144700000,177600000,None,177600000,None,-2000000,None,2000000,754100000,5100000,None,17800000,131500000,26900000,2000000,104600000,90800000,133500000,151300000,104600000
2018-06-30,341000000,831000000,689500000,492300000,159600000,197200000,None,197200000,None,-2300000,None,2300000,833300000,4600000,None,17500000,146100000,31600000,2300000,114500000,85800000,148400000,165900000,114500000
2018-03-31,321500000,785700000,659400000,466500000,142000000,192900000,None,192900000,None,-2300000,None,2300000,788000000,5800000,None,17900000,125400000,26600000,2300000,98800000,122600000,127700000,152300000,98800000
2017-12-31,322300000,768600000,641500000,446300000,155700000,184500000,86400000,283100000,None,-2900000,None,2900000,768600000,5900000,None,18200000,140800000,118100000,2900000,323800000,45600000,143700000,161900000,22700000
2017-09-30,305000000,747400000,619000000,444900000,144000000,176800000,None,175800000,None,-2500000,None,2500000,749900000,5900000,None,17600000,131600000,37900000,2500000,93700000,112000000,134100000,151700000,93700000
2017-06-30,304200000,735700000,609600000,434000000,141600000,178300000,None,177300000,None,-2500000,None,2500000,738200000,4600000,None,17400000,128000000,35600000,2500000,92400000,103900000,130500000,147900000,92400000
2017-03-31,300900000,737800000,619800000,439100000,136600000,183200000,None,182100000,None,-2200000,None,2200000,740000000,4900000,None,16900000,120400000,32700000,2200000,87700000,98700000,122600000,139500000,87700000
2016-12-31,289600000,698100000,596700000,413600000,127600000,178400000,80100000,268300000,None,-1600000,None,1600000,None,11900000,None,16400000,116400000,33700000,1600000,289600000,44300000,118000000,134400000,82700000
2016-09-30,283300000,681800000,565300000,400600000,131600000,164700000,None,164700000,None,-2100000,None,2100000,None,1900000,None,16600000,118400000,35200000,2100000,83200000,81900000,120500000,137100000,83200000
2016-06-30,283700000,665100000,543300000,383300000,137200000,160000000,None,160000000,None,-1900000,None,1900000,None,2300000,None,15900000,124100000,37000000,1900000,87100000,67900000,126000000,141900000,87100000
2016-03-31,262700000,635200000,533600000,374200000,118700000,159400000,None,159400000,None,-1700000,None,1700000,None,2000000,None,16200000,103600000,30100000,1700000,73500000,82600000,105300000,121500000,73500000
2015-12-31,262600000,639400000,546100000,378800000,120700000,155100000,73700000,241300000,None,-1400000,None,1400000,-300000,3200000,None,15700000,109300000,29500000,1400000,262600000,56900000,110700000,126400000,79800000
2015-09-30,255600000,623500000,518500000,368400000,117900000,149000000,None,150100000,None,-1600000,None,1600000,-100000,2200000,None,15700000,107200000,33600000,1600000,73600000,59100000,108800000,124500000,73600000
2015-06-30,262400000,651000000,550500000,390200000,116900000,159400000,None,160300000,None,-2500000,None,2500000,0,2700000,None,16000000,103200000,32100000,2500000,71100000,72700000,105700000,121700000,71100000
2015-03-31,229200000,616400000,536500000,389300000,97400000,147200000,None,147400000,None,-1900000,None,1900000,-200000,2700000,None,15600000,82800000,24400000,1900000,58400000,52800000,84700000,100300000,58400000
2014-12-31,231900000,626800000,567500000,394900000,89500000,158300000,67900000,240400000,None,-1400000,None,1400000,100000,1700000,None,15400000,73900000,20700000,1400000,53200000,35700000,75300000,90700000,53200000
2014-09-30,215300000,580100000,511800000,366300000,83000000,145500000,None,145500000,None,-1500000,None,1500000,200000,1000000,None,14800000,69300000,18700000,1500000,50600000,55000000,70800000,85600000,50600000
2014-06-30,216200000,594000000,516600000,379200000,92500000,137400000,None,138800000,None,-1400000,None,1400000,0,1200000,None,14800000,78600000,21300000,1400000,57300000,61700000,80000000,94800000,57300000
2014-03-31,195900000,550400000,487200000,356300000,80400000,130900000,None,132700000,None,-1400000,None,1400000,-400000,1300000,None,14800000,64900000,18200000,1400000,46700000,42500000,66300000,81100000,46700000
2013-12-31,199900000,558900000,516900000,359500000,71800000,139200000,57800000,216400000,None,-1200000,None,1200000,0,1000000,None,17500000,56700000,14300000,1200000,42400000,92600000,57900000,79200000,42400000
2013-09-30,196600000,534800000,474900000,339900000,78300000,133700000,None,136400000,None,-1400000,None,1400000,0,1100000,None,14200000,61300000,15100000,1400000,46200000,55600000,62700000,78200000,46200000
2013-06-30,198000000,547500000,488500000,352700000,77400000,131600000,None,137400000,None,-1600000,None,1600000,None,700000,None,13900000,61300000,19200000,1600000,42100000,38400000,77400000,81000000,42100000
2013-03-31,179300000,508100000,452000000,330300000,72300000,120000000,None,130100000,None,-1500000,None,1500000,None,1000000,None,14100000,43200000,4200000,1500000,39000000,44500000,72300000,74400000,39000000
2012-12-31,185600000,524200000,474200000,338700000,76100000,124800000,51700000,-3900000,None,-2100000,None,2100000,-300000,1800000,None,14200000,57400000,18100000,2100000,43200000,20900000,76100000,76800000,39300000
2012-09-30,156800000,460300000,416900000,305400000,63400000,111500000,None,113400000,None,-1900000,None,1900000,-300000,2200000,None,13900000,52000000,15000000,1900000,37000000,39600000,63400000,67800000,37000000
2012-06-30,160500000,482000000,432600000,323700000,63500000,108900000,None,111100000,None,-2200000,None,2200000,-500000,1200000,None,13100000,50600000,15600000,2200000,35000000,29000000,63500000,67100000,35000000
2012-03-31,149100000,508800000,424800000,319500000,56400000,105300000,None,65100000,None,-3000000,None,3000000,43200000,29100000,None,13400000,69900000,22400000,3000000,47500000,49700000,56400000,86300000,47500000
2011-12-31,155000000,475800000,427000000,320800000,58400000,106200000,42700000,152100000,None,-2900000,None,2900000,-300000,1100000,None,13800000,47600000,15500000,2900000,31500000,-15900000,50500000,62600000,32100000
2011-09-30,118700000,409500000,385500000,293300000,39900000,92200000,None,94700000,None,-2500000,None,2500000,-1000000,15800000,None,11400000,195200000,12900000,2500000,26900000,158200000,197700000,37900000,182300000
2011-06-30,111900000,403200000,367300000,293400000,49300000,85100000,None,76000000,None,-2100000,None,2100000,None,5100000,None,11000000,62700000,12400000,2100000,28600000,51000000,64800000,37800000,50300000
