fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,819598000,1158467000,338869000,505214000,399105000,255885000,None,427243000,None,-51875000,None,51875000,None,17886000,None,164608000,365116000,53824000,51875000,311292000,261356000,416991000,581599000,311292000
2023-09-30,584479000,587642000,3163000,193288000,154070000,294845000,None,454462000,None,-31817000,None,31817000,None,15008000,None,159264000,137261000,18737000,31817000,118524000,232649000,169078000,328342000,118524000
2023-06-30,618183000,662733000,44550000,195049000,169253000,298204000,None,450688000,None,-31334000,31334000,31334000,None,16170000,None,150726000,154089000,16282000,31334000,137807000,181213000,185423000,336149000,137807000
2023-03-31,874762000,1540973000,666211000,860927000,422638000,303807000,None,465133000,None,-37370000,37370000,37370000,None,17406000,None,148317000,402674000,45003000,37370000,357671000,327338000,440044000,588361000,357671000
2022-12-31,745760000,1484009000,738249000,923265000,321186000,278554000,None,431807000,None,-36760000,36760000,36760000,None,21191000,None,146020000,305617000,33757000,36760000,271860000,294078000,342377000,488397000,271860000
2022-09-30,531672000,722628000,190956000,190956000,105402000,308276000,None,447313000,None,-27842000,27842000,27842000,None,6559000,None,140194000,84119000,12476000,27842000,71643000,135545000,111961000,252155000,71643000
2022-06-30,567270000,816429000,249159000,431484000,154587000,278452000,None,418340000,None,-26190000,26190000,26190000,None,13263000,None,134231000,141660000,13113000,26190000,128547000,288178000,167850000,302081000,128547000
2022-03-31,778441000,1649819000,871378000,1034730000,385132000,259935000,None,399014000,None,-28928000,48779000,28928000,None,5213000,None,133374000,361417000,36418000,28928000,324999000,446722000,390345000,523719000,324999000
2021-12-31,641623000,1012786000,371163000,530273000,275861000,237906000,None,372132000,None,-19851000,19851000,19851000,None,8702000,None,127856000,264712000,15503000,19851000,249209000,203262000,284563000,412419000,249209000
2021-09-30,484606000,568384000,83778000,283309000,90964000,293034000,None,428677000,None,-14486000,14486000,14486000,None,-16938000,None,124708000,59540000,10820000,14486000,48720000,57284000,74026000,198734000,48720000
