fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,380000000,4706000000,4326000000,2679000000,439000000,1213000000,290000000,1937000000,34000000,-111000000,34000000,111000000,None,-4000000,None,365000000,358000000,77000000,111000000,282000000,314000000,469000000,834000000,281000000
2023-09-30,-576000000,5087000000,5663000000,3386000000,349000000,1138000000,281000000,2290000000,9000000,-113000000,9000000,113000000,None,-64000000,None,367000000,136000000,28000000,113000000,154000000,67000000,249000000,616000000,108000000
2023-06-30,543000000,4878000000,4335000000,2778000000,549000000,1190000000,306000000,1863000000,24000000,-119000000,24000000,119000000,None,17000000,None,367000000,471000000,64000000,119000000,407000000,475000000,590000000,957000000,407000000
2023-03-31,664000000,4821000000,4157000000,2586000000,628000000,1205000000,337000000,1908000000,10000000,-118000000,10000000,118000000,None,8000000,None,366000000,528000000,68000000,118000000,460000000,445000000,646000000,1012000000,460000000
2022-12-31,555000000,4586000000,4031000000,2453000000,585000000,1187000000,313000000,1891000000,6000000,-102000000,96000000,102000000,None,-8000000,None,365000000,481000000,-28000000,102000000,509000000,437000000,583000000,948000000,509000000
2022-09-30,478000000,4761000000,4283000000,2684000000,489000000,1182000000,300000000,1899000000,7000000,-104000000,7000000,104000000,None,-72000000,None,366000000,321000000,33000000,104000000,287000000,460000000,425000000,791000000,288000000
2022-06-30,561000000,4641000000,4080000000,2574000000,537000000,1149000000,315000000,1821000000,5000000,-99000000,5000000,99000000,None,-21000000,None,357000000,391000000,31000000,99000000,390000000,610000000,490000000,847000000,360000000
2022-03-31,721000000,4750000000,4290000000,2637000000,564000000,1192000000,327000000,1927000000,2000000,-101000000,-4000000,97000000,None,-27000000,None,352000000,506000000,52000000,101000000,390000000,586000000,603000000,955000000,454000000
2021-12-31,828000000,4718000000,4167000000,2498000000,692000000,1185000000,314000000,1924000000,2000000,-98000000,79000000,98000000,None,4000000,None,355000000,709000000,32000000,98000000,568000000,722000000,807000000,1162000000,677000000
2021-09-30,601000000,4849000000,4534000000,2762000000,380000000,1285000000,368000000,2073000000,2000000,-111000000,109000000,111000000,None,-121000000,None,354000000,261000000,-4000000,111000000,154000000,507000000,372000000,726000000,265000000
2021-06-30,573000000,4607000000,4317000000,2649000000,492000000,1200000000,330000000,1932000000,2000000,-115000000,2000000,115000000,None,-1000000,None,351000000,497000000,-28000000,115000000,407000000,524000000,612000000,963000000,525000000
2021-03-31,714000000,4907000000,4193000000,2661000000,434000000,1148000000,317000000,1849000000,2000000,-124000000,2000000,124000000,None,-8000000,None,350000000,305000000,6000000,124000000,299000000,384000000,429000000,779000000,299000000
2020-12-31,1201000000,5315000000,4114000000,2583000000,1241000000,1149000000,291000000,1822000000,2000000,-118000000,2000000,118000000,None,32000000,None,348000000,1157000000,154000000,118000000,1003000000,1138000000,1275000000,1623000000,1003000000
2020-09-30,2206000000,4784000000,2578000000,2314000000,-317000000,1059000000,242000000,2089000000,2000000,-123000000,121000000,123000000,-17000000,11000000,None,347000000,94000000,-34000000,123000000,-394000000,-54000000,217000000,564000000,128000000
2020-06-30,1659000000,3855000000,2196000000,2195000000,358000000,980000000,262000000,1587000000,2000000,-135000000,2000000,135000000,0,23000000,None,345000000,248000000,-38000000,135000000,286000000,338000000,383000000,728000000,286000000
2020-03-31,1734000000,4253000000,2519000000,2520000000,370000000,1025000000,264000000,1835000000,2000000,-134000000,2000000,134000000,0,-38000000,None,347000000,200000000,17000000,134000000,183000000,-35000000,334000000,681000000,183000000
2019-12-31,1978000000,4225000000,2247000000,2247000000,501000000,1121000000,270000000,1795000000,1000000,-136000000,1000000,136000000,0,27000000,None,345000000,395000000,117000000,136000000,277000000,359000000,531000000,876000000,278000000
2019-09-30,2266000000,4584000000,2318000000,2318000000,111000000,1094000000,270000000,1704000000,4000000,-141000000,137000000,141000000,-23000000,24000000,None,365000000,-1000000,-164000000,141000000,2266000000,-223000000,140000000,505000000,163000000
2019-06-30,2074000000,4350000000,2276000000,2276000000,626000000,1076000000,282000000,1736000000,2000000,-156000000,2000000,156000000,1000000,-11000000,None,378000000,460000000,9000000,156000000,451000000,393000000,616000000,994000000,451000000
2019-03-31,1974000000,4195000000,2221000000,2221000000,136000000,1089000000,252000000,1782000000,18000000,-171000000,153000000,171000000,0,20000000,None,376000000,3000000,-17000000,171000000,20000000,108000000,174000000,550000000,20000000
2018-12-31,1974000000,4160000000,2186000000,2187000000,888000000,1073000000,258000000,1709000000,-12000000,-171000000,None,171000000,335000000,10000000,None,378000000,714000000,115000000,171000000,599000000,581000000,885000000,1263000000,599000000
2018-09-30,2094000000,4402000000,2308000000,2309000000,576000000,1101000000,277000000,1757000000,10000000,-181000000,None,181000000,-14000000,10000000,None,376000000,414000000,549000000,181000000,2091000000,-142000000,595000000,971000000,-135000000
2018-06-30,2017000000,4278000000,2261000000,2262000000,512000000,1086000000,277000000,1733000000,8000000,-182000000,None,182000000,None,310000000,None,375000000,647000000,53000000,182000000,594000000,397000000,829000000,1204000000,594000000
2018-03-31,1606000000,4222000000,2616000000,2616000000,186000000,1056000000,259000000,1687000000,4000000,-185000000,None,185000000,None,1000000,None,370000000,6000000,18000000,185000000,-12000000,24000000,191000000,561000000,-12000000
2017-12-31,1553000000,3080000000,1527000000,1527000000,235000000,773000000,191000000,1101000000,44000000,-158000000,None,158000000,None,-16000000,None,135000000,105000000,241000000,158000000,-136000000,-154000000,263000000,398000000,-136000000
2017-09-30,1554000000,3166000000,1612000000,1589000000,487000000,758000000,216000000,1434000000,45000000,-157000000,None,157000000,None,-50000000,None,133000000,326000000,-1000000,157000000,1554000000,526000000,483000000,616000000,327000000
2017-06-30,1504000000,3035000000,1531000000,1532000000,-223000000,719000000,186000000,1037000000,19000000,-184000000,None,184000000,None,-16000000,None,132000000,-403000000,-271000000,184000000,-133000000,-46000000,-219000000,-87000000,-132000000
