fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,1846000000,57445000000,55599000000,55599000000,482000000,1283000000,None,1363000000,None,-8000000,None,8000000,None,16000000,None,63000000,489000000,136000000,8000000,354000000,363000000,497000000,560000000,353000000
2023-09-30,1768000000,54763000000,52995000000,52995000000,-14000000,1197000000,None,1855000000,None,-14000000,14000000,14000000,None,2000000,None,64000000,-27000000,-32000000,14000000,6000000,-9000000,-13000000,51000000,5000000
2023-06-30,1827000000,53453000000,51626000000,51626000000,137000000,1267000000,None,1743000000,None,-15000000,15000000,15000000,0,-1000000,None,101000000,123000000,187000000,15000000,-66000000,-73000000,138000000,239000000,-64000000
2023-03-31,1785000000,50487000000,48702000000,48702000000,572000000,1179000000,None,1188000000,None,-28000000,28000000,28000000,0,0,None,69000000,542000000,197000000,28000000,347000000,349000000,570000000,639000000,345000000
2022-12-31,1663000000,51469000000,49806000000,49806000000,-119000000,1191000000,None,1072000000,None,-25000000,25000000,25000000,0,7000000,None,71000000,-137000000,-7000000,25000000,-130000000,-100000000,-112000000,-41000000,-130000000
2022-09-30,1614000000,49603000000,47989000000,47989000000,137000000,1197000000,None,1507000000,None,-25000000,25000000,25000000,0,-2000000,None,71000000,109000000,-1000000,25000000,111000000,48000000,134000000,205000000,110000000
2022-06-30,1605000000,47103000000,45498000000,45498000000,36000000,1155000000,None,1620000000,None,-34000000,34000000,34000000,0,-30000000,None,99000000,-27000000,-165000000,34000000,137000000,101000000,7000000,106000000,138000000
2022-03-31,1682000000,44836000000,43154000000,43154000000,-97000000,1137000000,None,1307000000,None,-38000000,37000000,38000000,0,-3000000,None,78000000,-138000000,1253000000,38000000,-1390000000,-1383000000,-100000000,-22000000,-1391000000
2021-12-31,1616000000,45457000000,43841000000,43841000000,-950000000,1151000000,None,1271000000,None,-37000000,36000000,37000000,0,13000000,None,79000000,-973000000,-1022000000,37000000,49000000,25000000,-936000000,-857000000,49000000
2021-09-30,1642000000,43968000000,42326000000,42326000000,415000000,1114000000,None,1240000000,None,-40000000,40000000,40000000,-10000000,4000000,None,78000000,368000000,97000000,50000000,272000000,244000000,408000000,486000000,271000000
