fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,681300000,1528000000,846700000,877700000,216100000,246200000,35200000,197000124,None,-27000000,None,27000000,1528000000,5500000,20000000,-93299875,195200000,41500000,27000000,153700000,155900000,222200000,128900124,153700000
2023-09-30,646300000,1455900000,809600000,809600000,255800000,222700000,30300000,284100000,None,-27200000,1700000,27200000,1455900000,3700000,18200000,31100000,234000000,56500000,27200000,177500000,175900000,261200000,292300000,177500000
2023-06-30,638900000,1454200000,815300000,815300000,293600000,213100000,30200000,274400000,None,-27900000,25900000,27900000,1454200000,1700000,17700000,31100000,269400000,48200000,27900000,221200000,219600000,297300000,328400000,221200000
2023-03-31,622000000,1429800000,807800000,807800000,291900000,207800000,26700000,265600000,None,-28800000,4400000,28800000,1429800000,1300000,16900000,31100000,268800000,65600000,28800000,203200000,206300000,297600000,328700000,203200000
2022-12-31,602500000,1436000000,833500000,833500000,-198400000,611200000,29100000,677000000,None,-30000000,2300000,30000000,1436000000,-1600000,16900000,34300000,-223900000,-59200000,30000000,-164700000,-147900000,-193900000,-159600000,-164700000
2022-09-30,549700000,1317300000,767600000,767600000,253900000,155100000,29200000,213600000,None,-23700000,18500000,23700000,1317300000,600000,16700000,29300000,234500000,47400000,23700000,187100000,188100000,258200000,287500000,187100000
2022-06-30,545300000,1325100000,779800000,779800000,261600000,180800000,27200000,237300000,None,-19300000,15100000,19300000,1325100000,300000,16800000,29300000,246500000,59400000,19300000,187100000,193200000,265800000,295100000,187100000
2022-03-31,552500000,1297200000,744700000,744700000,280700000,169900000,24500000,223900000,None,-16600000,14200000,16600000,1297200000,-300000,16600000,29500000,266200000,61800000,16600000,204400000,219400000,282800000,312300000,204400000
2021-12-31,581200000,1368700000,787500000,787500000,176400000,203700000,28000000,276000000,None,-13000000,2000000,13000000,1368700000,-1200000,17100000,29400000,164100000,6000000,13000000,158100000,150800000,177100000,206500000,158100000
2021-09-30,579200000,1311400000,732200000,732200000,301400000,116900000,27700000,174500000,0,-13400000,11400000,13400000,1311400000,-700000,17200000,29900000,289300000,58900000,13400000,230400000,235300000,302700000,332600000,230400000
2021-06-30,552200000,1271100000,718900000,718900000,298700000,136500000,25400000,192400000,200000,-14100000,11100000,14100000,1271100000,-300000,17300000,30500000,287300000,69000000,14100000,218300000,207100000,301400000,331900000,218300000
2021-03-31,550900000,1238900000,688000000,688000000,302600000,149600000,24100000,204200000,-100000,-14000000,11500000,14000000,1238900000,-100000,16800000,30500000,291000000,70300000,14000000,220700000,243700000,305000000,335500000,220700000
2020-12-31,557400000,1295300000,737900000,737900000,190600000,165200000,29300000,222900000,None,-14000000,1200000,14000000,1295300000,-1000000,17800000,26500000,176900000,26700000,14000000,190600000,163400000,190900000,217400000,150200000
2020-09-30,565200000,1241000000,675800000,675800000,273800000,120500000,27000000,171900000,0,-13900000,12000000,13900000,1241000000,-300000,16400000,24400000,261500000,45300000,13900000,216200000,223700000,275400000,299800000,216200000
2020-06-30,559600000,1194300000,634700000,634700000,250700000,186600000,24600000,235700000,300000,-16800000,14500000,16800000,1194300000,-200000,16000000,24500000,236000000,46300000,16800000,189700000,190800000,252800000,277300000,189700000
2020-03-31,532000000,1165200000,633200000,633200000,314600000,121000000,21700000,164200000,100000,-16300000,14600000,16300000,1165200000,-600000,16000000,24500000,299400000,69600000,16300000,229800000,197100000,315700000,340200000,229800000
2019-12-31,524000000,1144200000,620200000,620200000,195200000,166200000,26000000,230900000,None,-18000000,16300000,18000000,1144200000,-1200000,15900000,24900000,177700000,33300000,18000000,195200000,158400000,195700000,220600000,144400000
2019-09-30,507700000,1089400000,581700000,581700000,216800000,165700000,24500000,215400000,None,-18900000,16500000,18900000,1089400000,300000,16000000,25200000,200600000,43300000,18900000,157300000,145000000,219500000,244700000,157300000
2019-06-30,481500000,1079400000,597900000,597900000,187400000,165000000,22400000,210100000,None,-18900000,17000000,18900000,1079400000,-100000,16100000,22700000,170300000,31800000,18900000,138500000,129600000,189200000,211900000,138500000
2019-03-31,470800000,1044700000,573900000,573900000,240800000,131900000,20700000,170200000,None,-17800000,None,17800000,1044700000,-100000,15800000,17600000,225100000,49400000,17800000,175700000,169800000,242900000,260500000,175700000
