fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,559000000,3356000000,2797000000,8000000,534000000,None,None,25000000,232000000,-14000000,236000000,14000000,2064000000,None,None,24000000,1490000000,307000000,14000000,1183000000,1575000000,1504000000,1490000000,1183000000
2023-09-30,-1226000000,1811000000,3037000000,5000000,-1231000000,None,None,5000000,220000000,-13000000,223000000,13000000,2033000000,None,None,14000000,-148000000,-49000000,13000000,-99000000,-300000000,-135000000,-148000000,-99000000
2023-06-30,-432000000,2605000000,3037000000,7000000,-439000000,None,None,7000000,214000000,-13000000,217000000,13000000,1943000000,None,None,34000000,666000000,132000000,13000000,534000000,435000000,679000000,698000000,534000000
2023-03-31,-903000000,2241000000,3144000000,5000000,-908000000,None,None,5000000,203000000,-14000000,206000000,14000000,1918000000,None,None,40000000,268000000,43000000,14000000,225000000,312000000,282000000,322000000,225000000
2022-12-31,206000000,3109000000,2908000000,23000000,177000000,None,None,29000000,203000000,-13000000,206000000,13000000,1874000000,None,None,46000000,1288000000,274000000,13000000,1013000000,814000000,1301000000,1346000000,1014000000
2022-09-30,-1782000000,1410000000,3190000000,4000000,-1786000000,None,None,4000000,190000000,-14000000,195000000,14000000,1882000000,None,None,26000000,-577000000,-161000000,14000000,-418000000,-726000000,-563000000,-539000000,-416000000
2022-06-30,-2126000000,820000000,2946000000,5000000,-2131000000,None,None,5000000,193000000,-13000000,None,13000000,1773000000,None,None,26000000,-1053000000,-235000000,13000000,-808000000,-1158000000,-1040000000,-1002000000,-818000000
2022-03-31,-1174000000,1218000000,2389000000,4000000,-1178000000,None,None,4000000,184000000,-13000000,188000000,13000000,1690000000,None,None,29000000,-351000000,-85000000,13000000,-273000000,-700000000,-338000000,-318000000,-266000000
2021-12-31,1054000000,3323000000,2269000000,-6287000000,1029000000,None,None,25000000,185000000,-14000000,188000000,14000000,1676000000,None,None,24000000,1846000000,376000000,14000000,1470000000,1455000000,1860000000,1884000000,1470000000
2021-09-30,-671000000,1785000000,2456000000,5000000,-676000000,None,None,5000000,178000000,-13000000,182000000,13000000,1669000000,None,None,23000000,184000000,31000000,13000000,153000000,85000000,197000000,220000000,153000000
