fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-02-29,1673595000,2380643000,707048000,1258905000,520800000,667048000,None,707048000,930000,-25530000,930000,25530000,2406173000,None,70834000,40000000,496200000,98621000,25530000,397579000,390563000,521730000,561730000,397579000
2023-11-30,1669322000,2350587000,681265000,1235629000,499683000,641865000,None,681265000,769000,-26590000,769000,26590000,2377177000,None,69190000,39400000,473862000,99249000,26590000,374613000,380783000,500452000,539852000,374613000
2023-08-31,1638271000,2317786000,679515000,1200759000,500556000,641015000,None,679515000,422000,-24544000,422000,24544000,2342330000,None,67613000,38500000,476434000,91349000,24544000,385085000,394476000,500978000,539478000,385085000
2023-05-31,-408247000,2260414000,656480000,1195693000,470798000,617980000,24500000,656480000,844000,-24057000,1716000,25773000,2284471000,844000,66240000,38500000,445869000,99668000,25773000,346201000,347875000,471642000,510142000,346201000
2023-02-28,1536148000,2161167000,625019000,1155955000,446812000,587219000,None,625019000,373000,-28819000,373000,28819000,2189986000,373000,64240000,37800000,418366000,92539000,28819000,325827000,317835000,447185000,484985000,325827000
2022-11-30,1531125000,2145938000,614813000,1152411000,444934000,577513000,None,614813000,344000,-28920000,344000,28920000,2174858000,344000,63504000,37300000,416358000,92065000,28920000,324293000,320265000,445278000,482578000,324293000
2022-08-31,1514342000,2138734000,624392000,1138342000,440120000,587992000,None,624392000,155000,-27720000,155000,27720000,2166454000,155000,63057000,36400000,412555000,60866000,27720000,351689000,331896000,440275000,476675000,351689000
2022-05-31,-467224000,2063999000,607259000,1128491000,404436000,541759000,23500000,578759000,74000,-22816000,242000,23058000,2086815000,74000,64912000,37000000,381452000,86991000,23058000,294461000,390231000,404510000,441510000,294461000
2022-02-28,1409963000,1938512000,528549000,1062388000,407605000,490549000,None,528549000,56000,-22030000,56000,22030000,1960542000,56000,62190000,38000000,385631000,70183000,22030000,315448000,354853000,407661000,445661000,315448000
2021-11-30,1359566000,1900379000,540813000,1037140000,381228000,503913000,None,540813000,56000,-21902000,56000,21902000,1922281000,56000,61319000,36900000,359382000,64713000,21902000,294669000,297677000,381284000,418184000,294669000
2021-08-31,1329941000,1875096000,545155000,994194000,394101000,508655000,None,532977000,56000,-21854000,56000,21854000,1896950000,56000,60955000,36500000,372303000,41124000,21854000,331179000,270025000,394157000,430657000,331179000
2021-05-31,-359813000,1833608000,587218000,976611000,356446000,502604000,None,543449000,98000,-24084000,467000,24551000,1857692000,98000,61704000,35900000,331993000,64271000,24551000,267722000,311578000,356544000,392444000,267722000
2021-02-28,1233856000,1752504000,518648000,967540000,326468000,483048000,None,518648000,87000,-24552000,87000,24552000,1777056000,87000,61036000,35600000,302003000,43619000,24552000,258384000,342823000,326555000,362155000,258384000
2020-11-30,1230079000,1732491000,502412000,937164000,352872000,467012000,None,502412000,218000,-24557000,218000,24557000,1757048000,218000,60522000,35400000,328533000,43676000,24557000,284857000,303400000,353090000,388490000,284857000
2020-08-31,1210430000,1722025000,511595000,920374000,349706000,476495000,None,511595000,64000,-24550000,64000,24550000,1746575000,64000,60574000,35100000,325220000,25215000,24550000,300005000,337435000,349770000,384870000,300005000
2020-05-31,707820000,1619584000,911764000,911764000,207434000,500386000,None,544786000,196000,-24964000,988000,25952000,1619584000,196000,60644000,35200000,181678000,37093000,25952000,144585000,86019000,207630000,242830000,144585000
2020-02-29,824395000,1810648000,986253000,986253000,314652000,509743000,None,545443000,347000,-25943000,347000,25943000,1810648000,347000,59894000,35700000,289056000,54536000,25943000,234520000,176541000,314999000,350699000,234520000
2019-11-30,852391000,1843749000,991358000,991358000,334464000,517927000,None,553227000,283000,-26177000,283000,26177000,1843749000,283000,58641000,35300000,308247000,62127000,26177000,246443000,269936000,334424000,369724000,246120000
2019-08-31,849142000,1811139000,961997000,961997000,306146000,542996000,None,577596000,162000,-27321000,162000,27321000,1811139000,162000,56726000,34600000,278987000,28175000,27321000,250812000,227338000,306308000,340908000,250812000
2019-05-31,823565000,1793730000,970165000,970165000,314411000,508240000,None,557654000,271000,-24554000,1228000,25782000,1793730000,271000,59251000,34100000,288848000,62729000,25782000,226171000,186555000,314630000,348730000,226119000
2019-02-28,755153000,1682330000,927177000,927177000,278255000,476099000,None,510598000,70000,-26770000,70000,26770000,1682330000,70000,57268000,33700000,253966000,50632000,26770000,200923000,199881000,280736000,314436000,203334000
2018-11-30,775158000,1718268000,943110000,943110000,275640000,491671000,None,532818000,391000,-24880000,None,24880000,1718268000,69764000,54367000,33300000,320543000,77530000,24880000,242994000,237017000,345423000,378723000,243013000
2018-08-31,774712000,1697975000,923263000,923263000,265228000,504634000,None,542484000,496000,-24304000,None,24304000,1697975000,496000,52745000,33000000,241388000,28873000,24304000,212547000,206033000,265692000,298692000,212515000
2018-05-31,752338000,1669550000,917212000,917212000,265500000,471807000,None,441338000,370000,-23486000,1342000,24828000,1669550000,370000,58157000,15700000,237915000,51744000,24828000,189298000,179997000,262743000,278443000,186171000
2018-02-28,700463000,1589138000,888675000,888675000,200024000,490618000,None,516139000,384000,-25901000,None,25901000,1589138000,384000,49741000,15700000,180813000,-121282000,25901000,295789000,304175000,206714000,222414000,302095000
2017-11-30,716369000,1606441000,890072000,890072000,235211000,468084000,None,496758000,291000,-29129000,None,29129000,1606441000,291000,54010000,15600000,205745000,68636000,29129000,137737000,125543000,234874000,250474000,137109000
2017-08-31,739353000,1611503000,872150000,872150000,249099000,486283000,None,508325000,297000,-30317000,None,30317000,1611503000,297000,53568000,14100000,275182000,57971000,30317000,161108000,252243000,305499000,319599000,217211000
2017-05-31,678726000,1530287000,851561000,851561000,177307000,437673000,None,502193000,130000,-45152000,237000,45389000,None,130000,51072000,12200000,134109000,49874000,45389000,82174000,93147000,179498000,191698000,84235000
2017-02-28,559924000,1255367000,695443000,714711000,191991000,358589000,None,375329000,11000,-13696000,None,13696000,None,11000,40903000,3600000,179357000,61352000,13696000,116954000,123350000,193053000,196653000,118005000
2016-11-30,565218000,1271077000,705859000,725496000,200456000,361415000,None,372169000,31000,-13267000,None,13267000,None,31000,39911000,3600000,205647000,65270000,13267000,121950000,159503000,218914000,222514000,140377000
2016-08-31,576427000,1266650000,690223000,710356000,203937000,369703000,None,380313000,65000,-14172000,None,14172000,None,65000,39679000,3500000,191713000,53622000,14172000,136208000,126553000,205885000,209385000,138091000
2016-05-31,546371000,1243548000,697177000,717687000,190133000,335055000,None,338678000,331000,-14880000,896000,15776000,None,331000,39156000,42608000,195911000,65013000,15776000,115711000,139698000,211687000,245879000,130898000
2016-02-29,517853000,1190539000,672686000,691475000,192952000,331656000,None,336056000,335000,-16163000,None,16163000,None,335000,37405000,4400000,177186000,59845000,16163000,115122000,101347000,193349000,197749000,117341000
2015-11-30,520221000,1191121000,670900000,691680000,200349000,327051000,None,331251000,111000,-16171000,None,16171000,None,111000,36965000,4200000,413936000,68836000,16171000,113447000,347424000,430107000,434307000,345100000
2015-08-31,516895000,1170564000,653669000,674746000,185507000,338637000,None,342237000,119000,-16412000,None,16412000,None,119000,36165000,3600000,163197000,63016000,16412000,104325000,88648000,179609000,183209000,100181000
2015-05-31,486660000,1142583000,655923000,655923000,164951000,293295000,None,298641000,171000,-16056000,339000,16395000,0,-1496000,35674000,39042000,161326000,56111000,16395000,100584000,101007000,177721000,216932000,105215000
2015-02-28,475307000,1108847000,633540000,633540000,173617000,301690000,None,305090000,96000,-16254000,None,16254000,0,96000,34499000,3400000,152011000,57128000,16254000,100331000,73110000,168265000,171665000,94883000
2014-11-30,481424000,1123379000,641955000,641955000,181583000,299841000,None,303749000,19000,-15929000,None,15929000,0,19000,35003000,3500000,182384000,61972000,15929000,103701000,111104000,198313000,201813000,120412000
2014-08-31,477946000,1102077000,624131000,624131000,163488000,314458000,None,317958000,53000,-16583000,None,16583000,21739000,28411000,35448000,3500000,172900000,62792000,16583000,105905000,108498000,189483000,192983000,110108000
2014-05-31,480847000,1134415000,653568000,665117000,161294000,197815000,None,26300000,33000,-16167000,229000,16396000,None,106474000,40459000,45577000,180563000,53339000,16396000,128105000,120100000,196959000,211882000,127224000
2014-02-28,469634000,1110973000,641339000,651112000,149603000,317873000,None,345381000,44000,-16418000,None,16418000,None,44000,42581000,5100000,133505000,48903000,16418000,84326000,79868000,149923000,198570000,84602000
2013-11-30,467079000,1123931000,656852000,666834000,152211000,314868000,None,340432000,84000,-16485000,None,16485000,None,84000,42609000,5300000,136216000,51354000,16485000,84456000,87197000,152701000,201583000,84862000
2013-08-31,456095000,1100246000,644151000,654363000,139612000,316483000,None,342433000,68000,-16523000,None,16523000,None,68000,42571000,5100000,123513000,45759000,16523000,77398000,77582000,140036000,188532000,77754000
