fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,14324000000,47180000000,32856000000,28477000000,6845000000,969000000,None,7474000000,None,-268000000,None,268000000,47720000000,None,None,6254000000,3506000000,1247000000,268000000,3227000000,1896000000,3774000000,9864000000,2259000000
2023-09-30,20498000000,54080000000,33582000000,32328000000,13036000000,1163000000,None,7462000000,None,-114000000,1199000000,114000000,51922000000,None,None,4000000,8709000000,2183000000,114000000,6517000000,6640000000,8823000000,8856000000,6526000000
2023-06-30,18745000000,48896000000,30151000000,28984000000,11560000000,1128000000,None,7185000000,None,-120000000,1120000000,120000000,47216000000,None,None,3500000,7839000000,1829000000,120000000,6008000000,6040000000,7959000000,7960500000,6010000000
2023-03-31,20467000000,50793000000,30326000000,29407000000,13565000000,881000000,None,6936000000,None,-115000000,1473000000,115000000,48785000000,None,None,3500000,9488000000,2914000000,115000000,8193000000,6631000000,9603000000,9637500000,6574000000
2022-12-31,18239000000,56473000000,38234000000,32570000000,10384000000,1454000000,268000000,7768000000,None,-237000000,1500000000,237000000,53502000000,None,None,4800000000,9783000000,3430000000,237000000,7967000000,6728000000,10020000000,14731000000,6353000000
2022-09-30,27318000000,66644000000,39326000000,38751000000,19933000000,1028000000,None,7385000000,None,-128000000,2282000000,128000000,63508000000,None,None,4200000000,14802000000,3571000000,128000000,11229000000,11549000000,14930000000,19137000000,11231000000
2022-06-30,27909000000,68762000000,40853000000,40684000000,20728000000,863000000,None,7181000000,None,-129000000,2338000000,129000000,65372000000,None,None,3700000000,15910000000,4288000000,129000000,11712000000,11783000000,16039000000,19832000000,11622000000
2022-03-31,20693000000,54373000000,33680000000,33411000000,14088000000,967000000,None,6506000000,None,-136000000,1949000000,136000000,52165000000,None,None,3700000000,9036000000,2777000000,136000000,8362000000,6496000000,9172000000,12890000000,6259000000
2021-12-31,17785000000,48129000000,30344000000,30218000000,11007000000,1271000000,None,6158000000,None,-218000000,1502000000,218000000,45408000000,None,None,4800000000,6958000000,1903000000,478000000,6739000000,5584000000,7176000000,11940000000,5055000000
2021-09-30,20119000000,44710000000,24591000000,23834000000,14109000000,657000000,None,6010000000,None,-174000000,1473000000,174000000,42552000000,None,None,4300000000,8051000000,1940000000,174000000,6120000000,5988000000,8225000000,12529000000,6111000000
2021-06-30,15707000000,37597000000,21890000000,20629000000,9712000000,1096000000,None,5995000000,None,-185000000,1257000000,185000000,36117000000,None,None,4500000000,4410000000,1328000000,185000000,3090000000,3373000000,4595000000,9107000000,3082000000
2021-03-31,13134000000,32029000000,18895000000,17568000000,7177000000,990000000,None,5901000000,None,-198000000,713000000,198000000,31021000000,None,None,4300000000,2156000000,779000000,198000000,2309000000,2403000000,2354000000,6675000000,1377000000
2020-12-31,5498000000,25246000000,19748000000,15047000000,-529000000,1129000000,None,5892000000,None,-237000000,369000000,237000000,24589000000,None,None,4500000000,-966000000,-301000000,237000000,-88000000,-1770000000,-729000000,3742000000,-665000000
