fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,785763000,2074859000,1809161000,1319994000,354472000,431291000,37611000,644415000,None,-30898000,4944000,30898000,2105757000,713000,39226000,41235000,329231000,32969000,30898000,296262000,339327000,360129000,401364000,296262000
2023-09-30,793015000,2120879000,1824981000,1360253000,372770000,420245000,38200000,464728000,None,-32389000,3808000,32389000,2153268000,10273000,40751000,39564000,354462000,64709000,32389000,289753000,236324000,386851000,426415000,289753000
2023-06-30,758836000,2066282000,1830940000,1341250000,324496000,434340000,39300000,489690000,None,-33804000,2653000,33804000,2100086000,6678000,39840000,38951000,300023000,57784000,33804000,242239000,263885000,333827000,372778000,242239000
2023-03-31,747019000,2044809000,1817260000,1332004000,314605000,432414000,38000000,486678000,None,-34214000,2091000,34214000,2079023000,3808000,37530000,40366000,286290000,57716000,34214000,228574000,245649000,320504000,360870000,228574000
2022-12-31,766329000,2111970000,1836256000,1372852000,352718000,413611000,40000000,629659000,None,-33126000,31664000,33126000,2145096000,2359000,37636000,39094000,323413000,59834000,33126000,263579000,362050000,356539000,395633000,263579000
2022-09-30,772750000,2128502000,1834820000,1385541000,370411000,402339000,44000000,449279000,None,-29789000,1244000,29789000,2158291000,11167000,36889000,39625000,353033000,67007000,29789000,286026000,169329000,382822000,422447000,286026000
2022-06-30,781283000,2131726000,1844892000,1377432000,356850000,424433000,41200000,467460000,None,-26989000,949000,26989000,2158715000,4546000,36573000,38718000,335356000,45738000,26989000,289618000,210442000,362345000,401063000,289618000
2022-03-31,743194000,2019434000,1801898000,1308707000,299351000,443843000,None,494376000,None,-26552000,775000,26552000,2045986000,2129000,37812000,41191000,275703000,49550000,26552000,226153000,211384000,302255000,343446000,226153000
2021-12-31,721487000,1967577000,1743463000,1267748000,282802000,438685000,None,440991000,None,-26402000,25049000,26402000,1989235000,-3378000,36157000,35730000,460713000,97928000,26402000,362785000,370798000,487115000,522845000,362785000
2021-09-30,754579000,1991836000,1717031000,1263690000,342026000,412553000,None,453341000,None,-26433000,1466000,26433000,2018269000,10460000,36913000,35998000,327519000,63763000,26433000,263756000,239750000,353952000,389950000,263756000
2021-06-30,772172000,2005015000,1732456000,1259504000,344130000,428042000,None,472952000,None,-26661000,942000,26661000,2031676000,4933000,36045000,35474000,323344000,58836000,26661000,264508000,287179000,350005000,385479000,264508000
2021-03-31,721548000,1840966000,1597510000,1146353000,312550000,408998000,None,450072000,None,-26823000,26143000,26823000,1867901000,2843000,38194000,35612000,289250000,56481000,26823000,232769000,225293000,316073000,351685000,232769000
2020-12-31,651449000,1780390000,1577527360,1128941000,245929000,405520000,None,614219360,None,-28234000,700000,28234000,1780390000,2013000,37992000,35215000,220408000,38302000,28234000,106487000,261567000,248642000,283857000,182106000
2020-09-30,658729000,1719975000,1513491000,1089527000,276898000,381831000,None,424521000,None,-27724000,26764000,27724000,1747699000,1420000,34096000,35393000,250997000,50697000,27724000,227621000,231214000,278721000,314114000,200300000
2020-06-30,551598000,1469683000,1360839000,947577000,184858000,366740000,None,414043000,None,-28711000,728000,28711000,1498394000,735000,33365000,34238000,156829000,32063000,28711000,153530000,172715000,185540000,219778000,124766000
2020-03-31,612243000,1631519000,1475878000,1043696000,225302000,386941000,None,422739000,None,-27268000,1183000,27268000,1662490000,7732000,34555000,34197000,213500000,37221000,27268000,176279000,80727000,240768000,274965000,176279000
2019-12-31,651315000,1775589000,1124274000,1124274000,248092000,403223000,None,598942000,None,-30846000,1428000,30846000,1775589000,1891000,35976000,34017000,197022000,28900000,7303000,168122000,209286000,227868000,261885000,168122000
2019-09-30,673488000,1825345000,1151857000,1151857000,282713000,390775000,None,428753000,None,-31410000,1263000,31410000,1825345000,5364000,32145000,34642000,257930000,51924000,31410000,206006000,156929000,289340000,323982000,206006000
2019-06-30,672593000,1810706000,1138113000,1138113000,275959000,396634000,None,437110000,None,-31754000,945000,31754000,1810706000,4589000,33031000,34738000,249739000,51654000,31754000,198085000,180918000,281493000,316231000,198085000
2019-03-31,623542000,1724757000,1101215000,1101215000,168130000,408466000,None,468559000,None,-31808000,890000,31808000,1724757000,1106000,32188000,35550000,73092000,-32613000,31808000,105705000,157855000,104900000,140450000,105705000
2018-12-31,644972000,1808950000,1163978000,1163979000,218773000,426198000,None,630658000,None,-32015000,None,32015000,0,-2284000,41087000,35475000,381335000,239766000,32015000,157975000,91798000,413350000,448825000,141569000
2018-09-30,646520000,1747403000,1100883000,1100883000,220075000,426445000,None,486222000,None,-31192000,None,31192000,0,2073000,32514000,35576000,121594000,-35711000,31192000,157305000,143759000,152786000,188362000,157305000
2018-06-30,665236000,1798094000,1132858000,1132858000,236461000,428775000,None,473266000,None,-32125000,None,32125000,0,4538000,32947000,36356000,94978000,-44981000,32125000,166456000,78768000,127103000,163459000,139959000
2018-03-31,602828000,1637671000,1034843000,1034842000,167803000,435026000,None,567742000,None,-35807000,-167000,35640000,0,30000,32164000,48890000,106593000,-24841000,35807000,109409000,187534000,142233000,191123000,131434000
2017-12-31,649893000,1752530000,1102637000,1102637000,184759000,465134000,124986000,860566000,None,-36414000,-51000,36363000,111828000,844000,34295000,50104000,270907000,-25541000,36414000,289645000,293917000,307270000,357374000,296448000
2017-09-30,649193000,1747775000,1098582000,1098582000,239153000,410040000,None,525924000,None,-35453000,-81000,35372000,0,1236000,34663000,50878000,226233000,47321000,35453000,159455000,274065000,261605000,312483000,178912000
2017-06-30,654108000,1737371000,1083263000,1083263000,232838000,421270000,None,536982000,None,-36932000,-78000,36854000,0,-259000,32564000,51093000,219643000,55585000,36932000,142475000,189992000,256497000,307590000,164058000
2017-03-31,575853000,1583210000,1007357000,1152198000,174914000,486260000,None,542183000,None,-36409000,None,36409000,90093000,794000,44718000,50880000,231972000,59725000,36409000,155088000,218257000,268381000,319261000,172247000
2016-12-31,619704000,1109014000,1676850000,651556000,158608000,216679000,104479000,648407000,None,226507000,261590000,35083000,81904000,552000,-12814000,54139000,218109000,56947000,35515000,161162000,69511000,253192000,307331000,161162000
2016-09-30,631788000,1674769000,1548702000,1075975000,210746000,421042000,None,472727000,None,-32994000,795000,33789000,0,3424000,42786000,43937000,181176000,51092000,33789000,130084000,143951000,214965000,258902000,130084000
2016-06-30,631213000,1654188000,1545335000,1055132000,193802000,437411000,None,490203000,None,-32157000,1622000,33779000,801000,2053000,44501000,43593000,164499000,46209000,33779000,118290000,78357000,198278000,241871000,118290000
2016-03-31,589264000,1601787000,1534418000,1033009000,145816000,443448000,None,490181000,None,-31714000,1604000,33318000,11228000,2294000,45029000,43574000,127624000,28268000,33318000,99356000,112318000,160942000,204516000,99356000
2015-12-31,613809000,1694600000,1552617000,1080791000,199444000,414365000,115037000,592809000,None,223265000,255785000,32520000,None,1295000,50709000,40997000,174741000,32916000,32520000,136574000,138397000,199444000,248258000,141825000
2015-09-30,672608000,1755599000,1561164000,1114974000,276920000,395688000,None,446190000,None,-31983000,1115000,33098000,0,367000,38191000,38983000,244919000,58821000,33098000,186483000,132587000,276920000,317000000,186098000
2015-06-30,654568000,1726640000,1549492000,1104060000,251873000,402695000,None,445432000,None,-31988000,1065000,33053000,0,1256000,38408000,39619000,397903000,65507000,33053000,155634000,372703000,251873000,470575000,332396000
2015-03-31,627159000,1683464000,1587053000,1088342000,192525000,434634000,None,498711000,None,-32037000,968000,33005000,0,4187000,40208000,39974000,256995000,47485000,33005000,117190000,130500000,192525000,329974000,209510000
2014-12-31,723868000,1977947000,1568977000,1254079000,263491000,460377000,118411000,604023000,None,223050000,255589000,32539000,None,-1172000,39531000,36908000,228446000,59152000,32539000,171835000,45375000,263491000,297893000,169294000
2014-09-30,774422000,2061228000,1773793000,1235153000,348262000,426160000,None,483168000,None,-31239000,1270000,32509000,None,1032000,37723000,38372000,324224000,92380000,32509000,225683000,156502000,348262000,395105000,231844000
2014-06-30,768100000,2015771000,1750058000,1194537000,329275000,438824000,None,531677000,None,-31967000,973000,32940000,None,6233000,None,39621000,306925000,92966000,32940000,210581000,228539000,329275000,379486000,213959000
2014-03-31,707859000,1852535000,1644333000,1094710000,274456000,433404000,None,529043000,None,-32665000,1036000,33701000,553000,-191000,None,40208000,231707000,71569000,33701000,170041000,144860000,274456000,305616000,160138000
2013-12-31,679709000,2209128000,1887332000,933689000,228208000,356600000,117178000,818053000,None,-29981000,1749000,31730000,None,3905000,None,47291000,250153000,56190000,31730000,172227000,198804000,228208000,329174000,193963000
2013-09-30,724041000,2222112000,1909459000,1183864000,348083000,408264000,None,564764000,None,-30237000,767000,31004000,-7000,-177000,None,46894000,360549000,91435000,31004000,217045000,415241000,348083000,438447000,269114000
2013-06-30,720994000,2198483000,1991814000,1176593000,320198000,435620000,None,650044000,None,-30280000,761000,31041000,2278000,-1647000,None,46370000,360310000,30261000,31041000,247988000,332989000,320198000,437721000,330049000
2013-03-31,653847000,2001390000,1799443000,1082359000,265181000,416437000,None,575303000,None,-30244000,628000,30872000,-7939000,2889000,None,45703000,280576000,70573000,30872000,160267000,178724000,265181000,357151000,210003000
2012-12-31,773744000,2013831000,1359268000,289472000,97728000,148940000,189844000,652839000,None,-31009000,760000,31769000,-714000,-839000,None,-114044000,200445000,40585000,31769000,208224000,111528000,97728000,118170000,159860000
2012-09-30,810139000,2178311000,1882691000,1287466000,358196000,451943000,None,552025000,None,-30388000,715000,31103000,701000,-3706000,None,93142000,331807000,90761000,31103000,233330000,334327000,358196000,456052000,241046000
2012-06-30,777102000,2126791000,1880963000,1261187000,311013000,466089000,None,573530000,None,-29717000,1761000,31478000,-368000,-364000,None,92487000,289879000,75778000,31478000,205156000,120514000,311013000,413844000,214101000
2012-03-31,746080000,2033337000,1849608000,1208534000,292091000,453989000,None,598213000,None,-30027000,1618000,31645000,381000,-1785000,None,84185000,269929000,73866000,31645000,186409000,237305000,292091000,385759000,196063000
2011-12-31,718333000,2004486000,1707900000,872726000,208286000,342488000,196970000,869958000,None,-29128000,1822000,30950000,0,4651000,None,82812000,326478000,48189000,30950000,197267000,213645000,208286000,440240000,278289000
2011-09-30,757608000,2173340000,1868801000,1332324000,329642000,476640000,None,519211000,None,-30048000,1699000,31747000,None,-48000,None,84275000,248375000,76095000,31747000,207515000,47957000,329642000,364397000,172280000
2011-06-30,712729000,2128737000,1815144000,1218974000,327597000,448399000,None,505250000,None,-28134000,2986000,31120000,None,-1477000,None,68425000,308534000,58765000,31120000,213259000,269404000,327597000,408079000,249769000
2011-03-31,656133000,1927961000,1762402000,1100327000,258324000,453427000,None,583266000,None,-31060000,2774000,31060000,None,-1188000,None,67631000,248932000,54027000,31060000,155145000,266566000,258324000,347623000,194905000
2010-12-31,686772000,1875541000,1681604000,621240000,163565000,300952000,186687000,942624000,None,-35044000,-6208000,28836000,0,280000,None,61053000,229184000,30836000,115490000,184906000,223730000,163565000,319073000,198348000
