fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,211000000,4083000000,3872000000,2201000000,-1460000000,1277000000,None,1671000000,40000000,-13000000,71000000,84000000,4083000000,20000000,79000000,231000000,149000000,7000000,None,142000000,305000000,-1460000000,-1229000000,142000000
2023-09-30,2012000000,4090000000,4008000000,2078000000,2012000000,1114000000,None,2447000000,131000000,108000000,108000000,54000000,4090000000,33000000,74000000,271000000,953000000,209000000,None,701000000,563000000,2012000000,968000000,744000000
2023-06-30,1994000000,3924000000,3044000000,1952000000,-186000000,1042000000,None,1066000000,58000000,None,10000000,10000000,3924000000,36000000,67000000,257000000,9510000000,158000000,None,592000000,9428000000,-186000000,1040000000,9352000000
2023-03-31,1801000000,3730000000,2984000000,1955000000,-248000000,1000000000,None,994000000,18000000,-53000000,18000000,53000000,3730000000,30000000,72000000,263000000,926000000,134000000,None,530000000,899000000,-248000000,974000000,792000000
2022-12-31,1620000000,3380000000,2793000000,1753000000,-449000000,1030000000,None,1036000000,20000000,-48000000,48000000,68000000,3380000000,44000000,74000000,260000000,2429000000,98000000,None,329000000,2561000000,-449000000,742000000,2331000000
2022-09-30,1829000000,5360000000,4791000000,2063000000,2317000000,983000000,526000000,2259000000,17000000,-53000000,53000000,53000000,5360000000,21000000,72000000,317000000,890000000,150000000,None,486000000,407000000,2317000000,1145000000,740000000
2022-06-30,1586000000,5018000000,4052000000,1879000000,-178000000,894000000,None,1144000000,11000000,-50000000,37000000,50000000,5018000000,29000000,77000000,270000000,1044000000,123000000,None,226000000,726000000,-178000000,1232000000,921000000
2022-03-31,1476000000,4791000000,3898000000,1815000000,-166000000,888000000,None,1059000000,4000000,-52000000,52000000,52000000,4791000000,25000000,79000000,221000000,754000000,80000000,None,428000000,639000000,-166000000,1094000000,674000000
2021-12-31,1415000000,4473000000,3671000000,1741000000,-218000000,849000000,None,1020000000,3000000,-38000000,3000000,41000000,4473000000,26000000,84000000,231000000,1092000000,196000000,None,746000000,846000000,-218000000,1456000000,896000000
2021-09-30,1996000000,4947000000,4514000000,-520000000,1996000000,369000000,None,2048000000,3000000,-39000000,39000000,39000000,4947000000,31000000,-39000000,249000000,585000000,-85000000,None,-239000000,1105000000,1996000000,1155000000,670000000
2021-06-30,1982000000,4697000000,3816000000,2715000000,-220000000,1073000000,None,1101000000,3000000,-37000000,3000000,40000000,4697000000,14000000,123000000,71000000,778000000,151000000,None,633000000,642000000,-220000000,937000000,627000000
2021-03-31,1862000000,4462000000,3640000000,2569000000,-249000000,1054000000,None,1071000000,4000000,-38000000,38000000,42000000,4462000000,58000000,122000000,239000000,730000000,169000000,None,568000000,569000000,-249000000,1035000000,561000000
2020-12-31,1723000000,4161000000,3502000000,2438000000,-405000000,998000000,None,1064000000,2000000,-40000000,2000000,40000000,4161000000,22000000,124000000,244000000,556000000,111000000,None,452000000,692000000,-405000000,913000000,445000000
2020-09-30,1882000000,4558000000,4059000000,2676000000,1882000000,946000000,None,1822000000,3000000,-40000000,40000000,40000000,4558000000,6000000,None,223000000,758000000,35000000,None,1882000000,845000000,1882000000,1028000000,723000000
2020-06-30,1618000000,3914000000,3318000000,2296000000,-426000000,934000000,None,1022000000,4000000,-45000000,4000000,45000000,3914000000,-33000000,None,209000000,450000000,51000000,None,407000000,603000000,-426000000,800000000,399000000
2020-03-31,1750000000,4162000000,3426000000,2412000000,-278000000,983000000,None,1014000000,6000000,-36000000,6000000,42000000,4162000000,-48000000,None,211000000,682000000,165000000,None,524000000,190000000,-278000000,950000000,517000000
2019-12-31,1759000000,4151000000,3612000000,2392000000,-681000000,1123000000,None,1220000000,6000000,-35000000,6000000,35000000,4151000000,9000000,None,211000000,420000000,94000000,None,329000000,472000000,-681000000,766000000,326000000
2019-09-30,2128000000,4971000000,4366000000,2843000000,2128000000,1109000000,None,1977000000,8000000,-40000000,40000000,40000000,4971000000,53000000,None,213000000,819000000,102000000,None,702000000,11000000,2128000000,1134000000,717000000
2019-06-30,2001000000,4684000000,3829000000,2683000000,-291000000,1126000000,None,1146000000,7000000,-43000000,45000000,43000000,4684000000,-15000000,None,203000000,759000000,155000000,None,612000000,516000000,-291000000,1033000000,604000000
2019-03-31,1925000000,4570000000,3800000000,2645000000,-385000000,1145000000,None,1155000000,7000000,-48000000,49000000,55000000,4570000000,-13000000,None,204000000,670000000,150000000,None,525000000,644000000,-385000000,944000000,520000000
2018-12-31,1761000000,4147000000,3473000000,2386000000,-413000000,1077000000,None,1087000000,5000000,None,None,43000000,4147000000,17000000,None,202000000,589000000,124000000,None,467000000,428000000,-413000000,846000000,465000000
2018-09-30,2059000000,4888000000,4344000000,2829000000,2065000000,1181000000,436000000,1957000000,8000000,None,None,89000000,4888000000,-10000000,None,201000000,733000000,116000000,None,617000000,694000000,2065000000,1055000000,617000000
2018-06-30,1942000000,4456000000,3575000000,2514000000,-187000000,1058000000,None,1068000000,10000000,None,None,39000000,4456000000,-16000000,None,179000000,761000000,49000000,None,712000000,447000000,-187000000,986000000,712000000
2018-03-31,1817000000,4248000000,3464000000,2431000000,-257000000,1035000000,None,1041000000,14000000,None,None,50000000,4248000000,-28000000,None,191000000,651000000,169000000,None,482000000,647000000,-257000000,908000000,482000000
2017-12-31,1614000000,3816000000,3202000000,2202000000,-393000000,995000000,None,1007000000,11000000,None,None,49000000,3816000000,-7000000,None,187000000,501000000,109000000,None,392000000,419000000,-393000000,775000000,392000000
2017-09-30,1804000000,4435000000,3883000000,2604000000,1804000000,986000000,340000000,1582000000,11000000,None,None,50000000,None,-36000000,None,182000000,687000000,183000000,None,496000000,1060000000,1804000000,970000000,504000000
2017-06-30,1678000000,4039000000,3313000000,2361000000,-226000000,931000000,None,952000000,10000000,None,None,49000000,None,-25000000,None,171000000,615000000,202000000,None,407000000,528000000,-226000000,905000000,413000000
2017-03-31,1557000000,3574000000,2898000000,2017000000,-218000000,868000000,None,894000000,9000000,None,None,50000000,None,-49000000,None,140000000,473000000,181000000,None,376000000,632000000,-218000000,821000000,292000000
