fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,188827000,421748000,232921000,74927000,130341000,19739000,None,157975000,None,-55099000,17204000,55099000,2803000,None,138016000,138016000,64851000,-540000,55099000,-60152000,43589000,130341000,257966000,65391000
2023-09-30,327521000,419183000,91662000,77020000,131784000,14611000,None,14642000,None,-54161000,38371000,54161000,2785000,None,137357000,137357000,87686000,404000,54161000,142074000,91255000,131784000,279204000,87282000
2023-06-30,328382000,416043000,87661000,73843000,134832000,13813000,None,13818000,None,-52600000,4468000,52600000,2778000,None,136718000,136718000,101353000,1733000,52600000,145336000,114483000,134832000,290671000,99620000
2023-03-31,186524000,412421000,225897000,73882000,187385000,15311000,None,151997000,None,-51045000,26691000,51045000,2765000,None,136347000,136347000,152632000,-900000,51045000,258394000,143588000,187385000,340024000,153532000
2022-12-31,189906000,415183000,225277000,71282000,228143000,16036000,None,153678000,None,-52299000,36296000,52299000,2826000,None,135758000,135758000,182792000,-2373000,52299000,34280000,180862000,228143000,370849000,185165000
2022-09-30,320896000,409748000,88852000,73450000,128608000,15172000,None,15402000,None,-51645000,5275000,51645000,2884000,None,135511000,135511000,94597000,1755000,51647000,137838000,118057000,128608000,281753000,92842000
2022-06-30,317080000,399978000,82898000,69761000,128628000,13127000,None,13137000,None,-50477000,4571000,50477000,2738000,None,134517000,134517000,50190000,-6864000,50477000,127092000,68371000,128628000,235184000,57054000
2022-03-31,167202000,381905000,214703000,68858000,109850000,12242000,None,145783000,None,-50377000,4785000,50377000,2689000,None,133533000,133533000,70500000,-2754000,50377000,73254000,93043000,109850000,254410000,73254000
2021-12-31,155038000,371596000,216558000,66997000,101262000,17092000,None,149310000,None,-50486000,53168000,50486000,2403000,103626000,132179000,132179000,147151000,10277000,50514000,136874000,140290000,101262000,329816000,136874000
2021-09-30,280508000,362857000,82349000,69529000,137971000,12712000,None,12820000,None,-50019000,11998000,50019000,2237000,40091000,130564000,130564000,121431000,3041000,50019000,118390000,119190000,137971000,302014000,118390000
