fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-03-31,861600000,1893700000,1507600000,1033500000,390200000,471400000,None,472600000,None,-2000000,1600000,2000000,1895700000,None,40200000,2700000,389800000,92100000,2000000,297700000,285800000,391800000,394500000,297700000
2023-12-31,799400000,1758300000,1407500000,959200000,353800000,445600000,None,447500000,None,-1900000,2300000,1900000,1760200000,None,40500000,2700000,354200000,87800000,1900000,266400000,283100000,356100000,358800000,266400000
2023-09-30,847600000,1845300000,1461800000,998300000,386700000,460900000,None,463200000,None,-2100000,800000,2100000,1847400000,None,42100000,2600000,385400000,89900000,2100000,295500000,280900000,387500000,390100000,295500000
2023-06-30,857500000,1880800000,1490900000,1025600000,394900000,462600000,None,466300000,None,-2900000,600000,2900000,1883700000,600000,42200000,2700000,392600000,94600000,2900000,298000000,301600000,395500000,398200000,298000000
2023-03-31,850000000,1855800000,1468600000,1009100000,393200000,456800000,None,457500000,None,-3900000,400000,3900000,1859700000,400000,41800000,2700000,389700000,94600000,3900000,295100000,299400000,393600000,396300000,295100000
2022-12-31,768400000,1690700000,1365300000,927200000,332900000,435500000,None,437100000,None,-5000000,300000,5000000,1695700000,300000,42100000,2600000,328200000,82600000,5000000,245600000,267900000,333200000,335800000,245600000
2022-09-30,826500000,1799400000,1425900000,975900000,379200000,447300000,None,447600000,None,-4100000,200000,4100000,1803500000,200000,41400000,2700000,375300000,90700000,4100000,284600000,251900000,379400000,382100000,284600000
2022-06-30,827600000,1777000000,1397900000,951000000,383400000,444200000,None,446400000,None,-2800000,100000,2800000,1779800000,100000,41200000,2700000,380700000,93600000,2800000,287100000,261100000,383500000,386200000,287100000
2022-03-31,793300000,1698200000,1348800000,910800000,358000000,435300000,None,441200000,None,-2400000,100000,2400000,1700600000,100000,41200000,2700000,355700000,86100000,2400000,269600000,271900000,358100000,360800000,269600000
2021-12-31,712900000,1529500000,1233700000,819000000,300900000,412000000,None,416400000,None,-2400000,None,2400000,1531900000,None,40900000,2700000,298500000,67300000,2400000,231200000,230100000,300900000,303600000,231200000
2021-09-30,720200000,1551800000,1235800000,834000000,318400000,401800000,None,401800000,None,-2400000,100000,2400000,1554200000,100000,40100000,2700000,316100000,72600000,2400000,243500000,232700000,318500000,321200000,243500000
2021-06-30,700700000,1505100000,1189900000,807000000,317800000,382900000,None,382900000,None,-2600000,None,2600000,1507700000,None,39600000,2700000,315200000,75500000,2600000,239700000,246500000,317800000,320500000,239700000
2021-03-31,643400000,1415200000,1139400000,773600000,280300000,363100000,None,365100000,None,-2400000,None,2400000,1417600000,None,39300000,2700000,277900000,67300000,2400000,210600000,206200000,280300000,283000000,210600000
2020-12-31,618800000,1358000000,1096600000,739200000,264400000,354400000,None,358800000,None,-2500000,300000,2500000,1358000000,300000,39300000,2700000,262200000,66100000,2500000,262200000,216700000,264700000,267400000,196100000
