fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,-157555000,291812000,449367000,95693000,108777000,21078000,None,191214000,None,-42974000,912000,42974000,None,None,None,82421000,67090000,46336000,42974000,109152000,61382000,108777000,191198000,64103000
2023-09-30,191724000,286604000,94880000,91640000,100084000,13149000,None,186520000,None,-42726000,721000,42726000,None,None,None,81731000,59392000,46383000,42726000,101397000,58325000,100084000,181815000,57048000
2023-06-30,189792000,280679000,90887000,87991000,101801000,11913000,None,178878000,None,-42884000,38797000,42884000,None,4087000,None,78974000,60499000,2008000,42884000,103466000,61449000,101801000,180775000,60499000
2023-03-31,181877000,273059000,91182000,87771000,95808000,12545000,None,178953000,None,-39225000,632000,39225000,None,1148000,None,78637000,57731000,79698000,39225000,96324000,54124000,95808000,174445000,55335000
2022-12-31,-167807000,280057000,447864000,95965000,155097000,21404000,None,188720000,None,-38282000,585000,38282000,None,877000,None,79165000,117692000,39404000,38282000,155389000,115366000,155097000,234262000,115693000
2022-09-30,183242000,273451000,90209000,91612000,191727000,13100000,None,181821000,None,-35060000,234000,35060000,None,2107000,None,77109000,158774000,2636000,35060000,193600000,158672000,191727000,268836000,156138000
2022-06-30,176034000,264099000,88065000,82434000,93600000,13604000,None,170499000,None,-32074000,133000,32074000,None,2941000,None,74461000,64467000,2791000,32074000,96408000,63701000,93600000,168061000,61676000
2022-03-31,172755000,256771000,84016000,86771000,85984000,12342000,None,170787000,None,-31573000,120000,31573000,None,317000,None,71674000,54728000,2744000,31573000,86181000,55556000,85984000,157658000,51984000
2021-12-31,-144358000,254154000,398512000,86871000,147490000,21980000,None,179186000,None,-32187000,108000,32187000,None,194000,None,77816000,116742000,1806000,32187000,238771000,115615000,147490000,225306000,114936000
2021-09-30,164420000,247284000,82864000,78847000,85573000,12253000,None,161711000,None,-32249000,88000,32249000,None,1217000,None,70611000,54541000,2419000,32249000,86702000,52634000,85573000,156184000,52122000
2021-06-30,151104000,231625000,80521000,72241000,78863000,12846000,None,152762000,None,-31177000,250000,31177000,None,373000,None,67675000,48059000,1855000,31177000,78986000,45266000,78863000,146538000,46204000
2021-03-31,144029000,218161000,74132000,78658000,82799000,10258000,None,152790000,None,-32085000,363000,32085000,None,-975000,None,63874000,49739000,1503000,32085000,81461000,51580000,82799000,146673000,48236000
