fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,10582000000,11933000000,1351000000,9745000000,1288000000,635000000,None,1351000000,None,-78000000,None,78000000,11668000000,17000000,162000000,716000000,1227000000,222000000,None,1005000000,1544000000,1288000000,2004000000,1005000000
2023-09-30,9838000000,10486000000,648000000,8913000000,1057000000,601000000,None,648000000,None,-85000000,85000000,85000000,10571000000,19000000,149000000,47000000,991000000,155000000,None,836000000,833000000,1057000000,1104000000,836000000
2023-06-30,9411000000,10063000000,652000000,8585000000,962000000,605000000,None,652000000,None,-89000000,89000000,89000000,10152000000,13000000,148000000,47000000,886000000,142000000,None,744000000,979000000,962000000,1009000000,744000000
2023-03-31,1524000000,9881000000,8357000000,8357000000,938000000,586000000,None,8943000000,None,-91000000,91000000,58000000,None,33000000,149000000,226000000,880000000,150000000,None,730000000,952000000,938000000,991000000,730000000
2022-12-31,9794000000,11130000000,1336000000,9020000000,1227000000,604000000,480000000,1336000000,None,-85000000,85000000,85000000,10851000000,69000000,166000000,732000000,1211000000,219000000,None,992000000,1318000000,1227000000,1959000000,992000000
2022-09-30,9269000000,9889000000,620000000,8310000000,1098000000,567000000,None,620000000,None,-86000000,86000000,86000000,9975000000,41000000,142000000,53000000,1053000000,151000000,None,902000000,577000000,1098000000,1151000000,902000000
2022-06-30,8431000000,9094000000,663000000,7597000000,978000000,614000000,None,663000000,None,-95000000,95000000,95000000,9189000000,40000000,139000000,49000000,923000000,157000000,None,766000000,478000000,978000000,1027000000,766000000
2022-03-31,8618000000,9294000000,676000000,7858000000,908000000,626000000,None,676000000,None,-98000000,98000000,98000000,9392000000,39000000,139000000,50000000,849000000,119000000,None,730000000,785000000,908000000,958000000,730000000
2021-12-31,9323000000,10623000000,1300000000,8526000000,1186000000,580000000,None,1300000000,None,-93000000,93000000,93000000,10292000000,39000000,160000000,720000000,1132000000,180000000,None,952000000,2553000000,1186000000,1906000000,952000000
2021-09-30,8860000000,9469000000,609000000,7938000000,1080000000,550000000,None,609000000,None,-99000000,99000000,99000000,9568000000,34000000,128000000,59000000,1015000000,155000000,None,860000000,786000000,1080000000,1139000000,860000000
