fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-03-31,2074655000,5765941000,5457555000,3708976000,319865000,1574927000,None,1754790000,None,-17690000,None,17690000,5783631000,23006000,None,90610000,325181000,76287000,17690000,248894000,171862000,342871000,433481000,248894000
2023-12-31,2033287000,5570561000,5163625000,3552597000,418690000,1522447000,None,1614597000,None,-15323000,None,15323000,5585884000,15426000,None,88581000,418793000,101918000,15323000,316875000,427265000,434116000,522697000,316875000
2023-09-30,2109241000,5808775000,5351020000,3715361000,465165000,1551799000,None,1644076000,None,-15827000,15827000,15827000,5824602000,15722000,None,83860000,465060000,113862000,15827000,351198000,275793000,480887000,564747000,351198000
2023-06-30,2134743000,5898551000,5452789000,3780263000,453895000,1581653000,None,1680848000,None,-16455000,16455000,16455000,5915006000,16649000,None,90873000,454089000,109595000,16455000,344494000,339438000,470544000,561417000,344494000
2023-03-31,2013401000,5748254000,5350176000,3751717000,409303000,1511244000,None,1604098000,None,-16864000,16864000,16864000,5765118000,11967000,None,87215000,404406000,100449000,16864000,303957000,329698000,421270000,508485000,303957000
2022-12-31,1973691000,5610884000,5250440000,3549959000,347559000,1531883000,None,1626132000,None,-15569000,15569000,15569000,5523650000,5393000,None,87997000,337383000,85407000,15569000,251976000,293750000,352952000,440949000,251976000
2022-09-30,1979667000,5657054000,5240588000,3695607000,428540000,1458418000,None,1551127000,None,-18220000,18220000,18220000,5675274000,7616000,None,86563000,417936000,105578000,18220000,312358000,191270000,436156000,522719000,312358000
2022-06-30,1960799000,5684969000,5091520000,3641615000,507995000,1364015000,None,1452804000,None,-20248000,20248000,20248000,5602414000,3820000,None,85890000,491567000,119038000,20248000,372529000,224178000,511815000,597705000,372529000
2022-03-31,1825947000,5274785000,4960036000,3468688000,330105000,1403979000,None,1495842000,None,-19850000,19850000,19850000,5294635000,15461000,None,87369000,325716000,79878000,19850000,245838000,298700000,345566000,432935000,245838000
2021-12-31,1693449000,4803209000,4465274000,3109760000,1693449000,1279265000,None,1355368000,None,-12023000,2274000,14297000,4803209000,22122000,None,72594000,345906000,89907000,12023000,255999000,1693449000,360203000,432797000,255999000
2021-09-30,1710767000,4803891000,4518971000,3108082000,295594000,1338768000,None,1415173000,None,-14958000,-791000,14167000,4818849000,17547000,None,72121000,298974000,70389000,14958000,228585000,159053000,313141000,385262000,228585000
2021-06-30,1689105000,4767631000,4517902000,3094633000,260799000,1349309000,None,1428306000,None,-16107000,-745000,15362000,4783738000,24170000,None,73960000,269607000,73111000,16107000,196496000,216702000,284969000,358929000,196496000
2021-03-31,1540815000,4445652000,4191359000,2923899000,268446000,1195164000,None,1272369000,None,-19062000,-738000,18324000,4464714000,35737000,None,72296000,285859000,68149000,19062000,217710000,230452000,304183000,376479000,217710000
2020-12-31,1448110000,4251594000,4056366000,2803484000,1448110000,1132297000,None,1213190000,None,-21495000,-2665000,18830000,4251594000,9456000,None,69758000,225118000,53914000,21495000,171632000,1448110000,243948000,313706000,171204000
