fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,1563000000,3976000000,3492000000,2434000000,557000000,1006000000,None,1087000000,None,-23000000,None,23000000,3997000000,7000000,None,52000000,524000000,129000000,None,412000000,442000000,557000000,609000000,395000000
2023-09-30,1655000000,4186000000,3541000000,2553000000,667000000,988000000,None,988000000,None,-22000000,22000000,22000000,4208000000,7000000,None,56000000,635000000,159000000,None,493000000,441000000,667000000,723000000,476000000
2023-06-30,1644000000,4158000000,3521000000,2538000000,661000000,983000000,None,983000000,None,-24000000,24000000,24000000,4182000000,8000000,None,55000000,625000000,155000000,None,490000000,462000000,661000000,716000000,470000000
2023-03-31,1634000000,4067000000,3462000000,2457000000,680000000,954000000,None,1009000000,None,-24000000,24000000,24000000,4091000000,6000000,None,51000000,642000000,154000000,None,508000000,492000000,680000000,731000000,488000000
2022-12-31,1506000000,3781000000,3323000000,2296000000,544000000,962000000,None,1018000000,None,-23000000,23000000,23000000,3802000000,4000000,None,58000000,512000000,128000000,None,397000000,429000000,544000000,602000000,384000000
2022-09-30,1519000000,3917000000,3339000000,2423000000,603000000,916000000,None,916000000,None,-25000000,25000000,25000000,3942000000,9000000,None,52000000,571000000,145000000,None,442000000,366000000,603000000,655000000,426000000
2022-06-30,1441000000,3815000000,3303000000,2396000000,534000000,907000000,None,907000000,None,-22000000,22000000,22000000,3837000000,5000000,None,55000000,499000000,128000000,None,389000000,315000000,534000000,589000000,371000000
2022-03-31,1383000000,3624000000,3165000000,2264000000,534000000,849000000,None,905000000,None,-23000000,23000000,23000000,3647000000,6000000,None,52000000,498000000,132000000,None,385000000,353000000,534000000,586000000,366000000
2021-12-31,1253000000,3339000000,2990000000,2106000000,417000000,836000000,None,887000000,None,-22000000,22000000,22000000,3359000000,6000000,None,48000000,383000000,100000000,None,301000000,281000000,417000000,465000000,283000000
2021-09-30,1250000000,3350000000,2934000000,2122000000,438000000,812000000,None,812000000,None,-22000000,22000000,22000000,3372000000,6000000,None,45000000,404000000,107000000,None,315000000,277000000,438000000,483000000,297000000
2021-06-30,1124000000,3185000000,2873000000,2083000000,334000000,790000000,None,790000000,None,-22000000,22000000,22000000,3207000000,7000000,None,49000000,301000000,76000000,None,243000000,232000000,334000000,383000000,225000000
2021-03-31,1093000000,3063000000,2769000000,1991000000,358000000,735000000,None,777000000,None,-21000000,21000000,21000000,3084000000,6000000,None,43000000,326000000,88000000,None,255000000,218000000,358000000,401000000,238000000
