fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,1737000000,4939000000,3202000000,3233000000,670000000,993000000,None,1402000000,32000000,-70000000,32000000,70000000,None,None,None,187000000,664000000,155000000,70000000,289000000,597000000,734000000,871000000,509000000
2023-09-30,1838000000,5132000000,3294000000,3294000000,774000000,1029000000,None,-6000000,18000000,-74000000,18000000,74000000,None,-20000000,None,189000000,744000000,157000000,74000000,665000000,555000000,818000000,774000000,587000000
2023-06-30,1731000000,5100000000,3369000000,3403000000,113000000,1015000000,None,658000000,9000000,-76000000,9000000,76000000,None,-42000000,None,189000000,70000000,-32000000,76000000,162000000,125000000,146000000,927000000,102000000
2023-03-31,1726000000,5200000000,3474000000,3469000000,787000000,924000000,None,13000000,7000000,-73000000,7000000,73000000,None,-16000000,None,179000000,739000000,173000000,73000000,648000000,574000000,812000000,966000000,566000000
2022-12-31,1627000000,4964000000,3337000000,3337000000,712000000,916000000,292000000,1209000000,7000000,-76000000,69000000,76000000,None,None,None,169000000,646000000,139000000,76000000,309000000,467000000,722000000,881000000,507000000
2022-09-30,1543000000,5053000000,3510000000,3510000000,655000000,873000000,None,1000000,4000000,-73000000,4000000,73000000,None,-18000000,None,174000000,594000000,127000000,73000000,543000000,228000000,667000000,829000000,467000000
2022-06-30,1529000000,5100000000,3571000000,3534000000,621000000,906000000,None,7000000,1000000,-68000000,1000000,68000000,None,-27000000,None,166000000,552000000,115000000,68000000,509000000,228000000,620000000,787000000,437000000
2022-03-31,1520000000,5100000000,3580000000,3575000000,693000000,886000000,None,6000000,2000000,-65000000,2000000,65000000,None,-4000000,None,186000000,637000000,114000000,65000000,600000000,582000000,702000000,879000000,523000000
2021-12-31,1436000000,4900000000,3464000000,3529000000,521000000,911000000,None,1189000000,2000000,-64000000,2000000,64000000,None,None,None,194000000,450000000,93000000,64000000,169000000,422000000,514000000,702000000,357000000
2021-09-30,1483000000,5000000000,3517000000,3527000000,657000000,819000000,None,19000000,1000000,-64000000,1000000,64000000,None,-10000000,None,194000000,595000000,126000000,64000000,543000000,380000000,659000000,842000000,469000000
2021-06-30,1480000000,4700000000,3220000000,3242000000,613000000,854000000,None,11000000,2000000,-65000000,2000000,65000000,None,-55000000,None,189000000,517000000,113000000,65000000,475000000,515000000,582000000,749000000,404000000
2021-03-31,1589000000,4700000000,3111000000,3154000000,770000000,815000000,None,7000000,1000000,-63000000,1000000,63000000,None,-6000000,None,189000000,731000000,147000000,63000000,657000000,430000000,794000000,954000000,584000000
2020-12-31,1664000000,4836000000,3172000000,3172000000,749000000,873000000,None,1250000000,2000000,-64000000,2000000,64000000,None,None,None,190000000,705000000,166000000,64000000,358000000,849000000,769000000,928000000,539000000
2020-09-30,1590000000,4683000000,3093000000,3093000000,666000000,919000000,None,54000000,2000000,-62000000,60000000,62000000,None,-40000000,None,192000000,586000000,114000000,62000000,545000000,502000000,648000000,820000000,472000000
2020-06-30,1777000000,4600000000,2823000000,2835000000,925000000,844000000,None,6000000,2000000,-65000000,2000000,65000000,None,-6000000,None,201000000,880000000,199000000,65000000,757000000,783000000,945000000,1122000000,681000000
2020-03-31,1791000000,5009000000,3218000000,3218000000,904000000,873000000,None,7000000,2000000,-61000000,2000000,61000000,None,-11000000,None,213000000,857000000,197000000,61000000,736000000,339000000,918000000,1108000000,660000000
2019-12-31,1566000000,4583000000,3017000000,3017000000,751000000,859000000,None,1003000000,3000000,-63000000,3000000,63000000,None,-23000000,None,217000000,656000000,109000000,63000000,366000000,665000000,719000000,913000000,547000000
2019-09-30,1555000000,4640000000,3085000000,3085000000,915000000,815000000,None,-172000000,3000000,-66000000,3000000,66000000,None,-11000000,None,230000000,863000000,192000000,66000000,743000000,529000000,929000000,1137000000,671000000
2019-06-30,1486000000,4600000000,3114000000,3108000000,670000000,811000000,None,11000000,2000000,-67000000,2000000,67000000,None,-11000000,None,236000000,617000000,132000000,67000000,560000000,505000000,684000000,897000000,485000000
2019-03-31,1428000000,4633000000,3205000000,3205000000,655000000,769000000,None,6000000,3000000,-65000000,3000000,65000000,None,-11000000,None,234000000,597000000,143000000,65000000,528000000,464000000,662000000,881000000,454000000
2018-12-31,1402000000,4583000000,3181000000,3167000000,639000000,768000000,317000000,1247000000,3000000,-65000000,None,65000000,None,-62000000,None,230000000,502000000,91000000,65000000,230000000,387000000,567000000,784000000,411000000
2018-09-30,1416000000,4582000000,3166000000,3166000000,669000000,749000000,None,4000000,2000000,-64000000,None,64000000,None,-5000000,None,217000000,589000000,138000000,64000000,524000000,398000000,653000000,858000000,451000000
2018-06-30,1455000000,4604000000,3149000000,3149000000,674000000,771000000,None,17000000,3000000,-68000000,None,68000000,None,-3000000,None,224000000,593000000,138000000,68000000,530000000,193000000,661000000,865000000,455000000
2018-03-31,1324000000,4731000000,3407000000,3407000000,247000000,1079000000,None,110000000,2000000,-66000000,None,66000000,None,20000000,None,211000000,197000000,104000000,66000000,161000000,208000000,263000000,451000000,93000000
2017-12-31,1608000000,4917000000,3916000000,3039000000,828000000,932000000,311000000,1243000000,3000000,-72000000,None,72000000,None,28000000,None,184000000,760000000,143000000,72000000,625000000,793000000,832000000,999000000,617000000
2017-09-30,1667000000,4562000000,2981000000,2981000000,868000000,7000000,None,7000000,3000000,-78000000,None,78000000,None,27000000,None,182000000,791000000,224000000,78000000,579000000,678000000,869000000,1039000000,567000000
2017-06-30,1652000000,4469000000,2910000000,2910000000,814000000,13000000,None,13000000,2000000,-85000000,None,85000000,None,28000000,None,180000000,733000000,202000000,85000000,540000000,569000000,818000000,981000000,531000000
2017-03-31,1660000000,4400000000,2810000000,2831000000,848000000,-21000000,None,-21000000,2000000,-83000000,None,83000000,None,31000000,None,178000000,770000000,207000000,83000000,575000000,793000000,853000000,1014000000,563000000
2016-12-31,1718000000,4463000000,4453000000,2866000000,905000000,882000000,328000000,1915000000,2000000,-81000000,None,81000000,None,31000000,None,177000000,776000000,271000000,81000000,518000000,131000000,857000000,1018000000,505000000
2016-09-30,1670000000,4513000000,2924000000,2924000000,836000000,8000000,None,8000000,2000000,-81000000,None,81000000,None,35000000,None,179000000,777000000,227000000,81000000,563000000,596000000,858000000,1017000000,550000000
2016-06-30,1664000000,4507000000,2924000000,2924000000,838000000,12000000,None,12000000,3000000,-81000000,None,81000000,None,38000000,None,177000000,783000000,217000000,81000000,578000000,522000000,864000000,1018000000,566000000
2016-03-31,1639000000,4400000000,2837000000,2837000000,804000000,-16000000,None,-16000000,4000000,-76000000,None,76000000,None,39000000,None,172000000,752000000,207000000,76000000,560000000,721000000,828000000,980000000,545000000
2015-12-31,1626000000,4446000000,4757000000,2913000000,630000000,155000000,324000000,2185000000,5000000,-76000000,None,76000000,None,None,None,181000000,585000000,252000000,76000000,344000000,381000000,661000000,816000000,333000000
2015-09-30,1682000000,4644000000,3036000000,3036000000,779000000,33000000,None,-888000000,4000000,-74000000,None,74000000,None,41000000,None,182000000,734000000,217000000,74000000,529000000,-31000000,808000000,965000000,517000000
2015-06-30,1657000000,4570000000,2986000000,2986000000,-544000000,869000000,None,2201000000,4000000,-73000000,None,73000000,None,43000000,None,189000000,-586000000,-281000000,73000000,-293000000,677000000,-513000000,-351000000,-305000000
2015-03-31,1659000000,4619000000,3032000000,3032000000,748000000,849000000,None,911000000,4000000,-72000000,None,72000000,None,None,None,194000000,698000000,230000000,72000000,486000000,31000000,770000000,946000000,468000000
2014-12-31,1553000000,3559000000,4445000000,2513000000,158000000,695000000,368000000,2402000000,5000000,-70000000,-1000000,69000000,-32000000,37000000,None,207000000,92000000,175000000,70000000,-113000000,-890000000,161000000,370000000,-83000000
2014-09-30,1765000000,5371000000,3541000000,3541000000,877000000,1011000000,None,71000000,5000000,-71000000,1000000,72000000,6000000,36000000,None,220000000,822000000,260000000,71000000,582000000,121000000,894000000,1132000000,562000000
2014-06-30,1700000000,5271000000,3534000000,3534000000,775000000,1032000000,None,72000000,5000000,-72000000,None,72000000,12000000,45000000,None,217000000,734000000,225000000,72000000,530000000,671000000,806000000,1012000000,509000000
2014-03-31,1665000000,5200000000,3453000000,3453000000,711000000,971000000,None,78000000,3000000,-71000000,None,71000000,-7000000,46000000,None,218000000,734000000,196000000,71000000,546000000,546000000,805000000,1018000000,538000000
2013-12-31,1182000000,5222000000,5468000000,3492000000,517000000,999000000,360000000,2419000000,4000000,-72000000,-1000000,71000000,None,52000000,None,222000000,682000000,143000000,72000000,558000000,649000000,753000000,1048000000,539000000
2013-09-30,1805000000,5189000000,3457000000,3457000000,807000000,990000000,None,73000000,6000000,-73000000,None,73000000,None,55000000,None,208000000,770000000,224000000,73000000,565000000,713000000,843000000,1021000000,546000000
2013-06-30,1800000000,5196000000,3467000000,3467000000,796000000,1012000000,None,71000000,5000000,-71000000,None,71000000,-18000000,60000000,None,212000000,764000000,238000000,71000000,547000000,156000000,835000000,1013000000,526000000
2013-03-31,1822000000,5264000000,3747000000,3496000000,783000000,30000000,None,305000000,5000000,-67000000,None,67000000,13000000,58000000,None,221000000,754000000,223000000,67000000,551000000,441000000,821000000,1042000000,531000000
2012-12-31,904000000,5185000000,5621000000,3783000000,140000000,1103000000,356000000,2316000000,5000000,-72000000,1000000,73000000,-50000000,None,None,215000000,306000000,39000000,72000000,286000000,8000000,379000000,594000000,267000000
2012-09-30,1766000000,5176000000,3511000000,3480000000,783000000,14000000,None,101000000,4000000,-70000000,None,70000000,-2000000,None,None,210000000,740000000,223000000,70000000,537000000,587000000,810000000,1020000000,517000000
2012-06-30,1755000000,5198000000,3533000000,3514000000,754000000,30000000,None,90000000,5000000,-71000000,None,71000000,6000000,None,None,214000000,711000000,213000000,71000000,518000000,234000000,782000000,996000000,498000000
2012-03-31,1704000000,5181000000,3803000000,3537000000,700000000,13000000,None,326000000,4000000,-71000000,None,71000000,11000000,None,None,218000000,653000000,185000000,71000000,487000000,728000000,724000000,942000000,468000000
