fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,6882000000,6406200000,-475800000,2842500000,2801900000,730900000,None,1262900000,None,-360200000,63900000,360200000,None,None,None,497500000,2515000000,476000000,360200000,2552600000,2128700000,2875200000,3372700000,2039000000
2023-09-30,4959300000,6692200000,1732900000,625400000,3208300000,583500000,None,1107500000,None,-340700000,340700000,340700000,None,None,None,498000000,2923500000,606400000,340700000,2657800000,2227000000,3264200000,3762200000,2317100000
2023-06-30,4801600000,6497500000,1695900000,618200000,3104100000,567500000,None,1077700000,None,-330200000,330200000,330200000,None,42800000,None,492200000,2816700000,506300000,330200000,2640600000,2344200000,3146900000,3639100000,2310400000
2023-03-31,4255700000,5897800000,1642100000,598300000,2532400000,553300000,None,1043800000,None,-329700000,329700000,329700000,None,64300000,None,490500000,2267000000,464700000,329700000,2132000000,1799500000,2596700000,3087200000,1802300000
2022-12-31,6504700000,5926500000,-578200000,2517600000,2582700000,720300000,None,635100000,None,-322900000,322900000,322900000,1085300000,79100000,None,463100000,2338900000,435500000,322900000,2339500000,1976500000,2661800000,3124900000,1903400000
2022-09-30,4241100000,5872100000,1631000000,589000000,2763900000,576400000,None,1042000000,None,-306200000,306200000,306200000,19000000,78500000,None,465600000,2536200000,554600000,306200000,2287800000,1668300000,2842400000,3308000000,1981600000
2022-06-30,4056400000,5718400000,1662000000,588600000,1711800000,611200000,None,2273400000,None,-290600000,4600000,290600000,-1200000000,-12100000,None,462200000,1409100000,221100000,290600000,1478600000,1583500000,1699700000,2161900000,1188000000
2022-03-31,4017600000,5665600000,1648000000,584000000,2312600000,584300000,None,1064000000,None,-287300000,2600000,287300000,-100000000,-484100000,None,479700000,1541200000,436800000,287300000,1391700000,1036200000,1828500000,2308200000,1104400000
2021-12-31,6515300000,6009100000,-506200000,2748100000,2397100000,755400000,None,1139200000,None,-295600000,295600000,295600000,-241200000,6300000,None,481600000,2107800000,469000000,295600000,2111100000,1728300000,2403400000,2885000000,1638800000
2021-09-30,4579900000,6201300000,1621400000,592600000,2986500000,559600000,None,1028800000,None,-293700000,293700000,293700000,106000000,-1400000,None,469200000,2691400000,541500000,293700000,2443600000,2057900000,2985100000,3454300000,2149900000
2021-06-30,4273000000,5887900000,1614900000,579100000,2691100000,572400000,None,1035800000,None,-296500000,296500000,296500000,98000000,-18600000,None,463400000,2376000000,156700000,296500000,2515800000,2284000000,2672500000,3135900000,2219300000
2021-03-31,3608800000,5124600000,1515800000,571500000,2281300000,490400000,None,944300000,None,-300000000,300000000,300000000,128600000,-28600000,None,453900000,1952700000,415500000,300000000,1837200000,1488100000,2252700000,2706600000,1537200000
2020-12-31,5824399973,5313800000,-510599973,2533600000,2142900000,698000000,None,1107800026,None,-308900000,308900000,308900000,-110800000,-4000000,None,464300000,1830000000,452800000,308900000,1803500000,1549200000,2138900000,2603200000,1377200000
2020-09-30,3955400000,5418100000,1462700000,567900000,2526400000,454700000,None,894800000,None,-310100000,307300000,310100000,None,800000,None,440100000,2217100000,454500000,310100000,2072700000,1810100000,2527200000,2967300000,1762600000
2020-06-30,2223400000,3761500000,1538100000,524500000,961100000,576000000,None,1013600000,None,-319100000,313500000,319100000,None,6700000,None,425700000,648700000,164900000,319100000,802900000,673900000,967800000,1393500000,483800000
2020-03-31,3222600000,4714400000,1491800000,554200000,1693600000,516300000,None,937600000,None,-280000000,5400000,280000000,None,31300000,None,421300000,1444900000,338000000,280000000,1386900000,593200000,1724900000,2146200000,1106900000
2019-12-31,5349000000,5349000000,-669500000,2502900000,2292600000,653600000,None,839600000,None,-283000000,7400000,283000000,None,17200000,None,413600000,2026800000,454600000,283000000,2292600000,1752600000,2309800000,2723400000,1572200000
2019-09-30,3914100000,5502300000,1516500000,559500000,2409300000,543600000,None,957000000,None,-280600000,8900000,280600000,None,23500000,None,413400000,2152200000,544300000,280600000,1888500000,1441400000,2432800000,2846200000,1607900000
2019-06-30,3865200000,5409800000,1476100000,544700000,2273900000,533100000,None,931400000,None,-284200000,10700000,284200000,None,18100000,None,398300000,2007800000,490900000,284200000,1801100000,1540400000,2292000000,2690300000,1516900000
2019-03-31,3530800000,5024100000,1424800000,533100000,2094000000,499100000,None,891700000,None,-274100000,10000000,274100000,None,11400000,None,392600000,1831300000,502900000,274100000,1602500000,1417800000,2105400000,2498000000,1328400000
2018-12-31,5163000000,5163000000,1497400000,509700000,1999500000,609800000,None,936000000,None,-254100000,None,254100000,51700000,6000000,None,379000000,1751400000,336100000,254100000,1999500000,1314100000,2005500000,2384500000,1415300000
2018-09-30,3979700000,5369400000,1389700000,499400000,2417700000,515200000,None,822300000,None,-250100000,None,250100000,68000000,-8900000,None,375100000,2158700000,521400000,250100000,1887400000,1564000000,2408800000,2783900000,1637300000
2018-06-30,3962900000,5353900000,1391000000,483900000,2262300000,542100000,None,907100000,None,-240200000,None,240200000,None,-4000000,None,365000000,2018100000,521800000,240200000,1736500000,1207800000,2258300000,2623300000,1496300000
2018-03-31,3762600000,5138900000,1376300000,480300000,2143100000,533100000,None,896000000,None,-236800000,None,236800000,None,-18400000,None,362900000,1887900000,512500000,236800000,1612200000,1407300000,2124700000,2487600000,1375400000
2017-12-31,5340200000,5340200000,1425000000,464600000,2144200000,617600000,None,869800000,None,-235100000,None,235100000,90600000,-24000000,None,342800000,1885100000,1186400000,235100000,2144200000,757000000,2120200000,2463000000,698700000
2017-09-30,4374500000,5754600000,1380100000,457300000,3079400000,567000000,None,20800000,None,-236700000,None,236700000,902000000,-23200000,None,355800000,2819500000,935800000,236700000,2120400000,2133400000,3056200000,3412000000,1883700000
2017-06-30,4746800000,6049700000,1302900000,438000000,2295100000,525400000,None,864900000,None,-230900000,None,230900000,None,-2800000,None,339500000,2061400000,666300000,230900000,1626000000,1613700000,2292300000,2631800000,1395100000
2017-03-31,4399200000,5675900000,1276700000,430100000,2034000000,521300000,None,846600000,None,-218600000,None,218600000,None,-7900000,None,325300000,1807500000,592700000,218600000,1433400000,1602700000,2026100000,2351400000,1214800000
2016-12-31,6028900000,6028900000,1481100000,434800000,1969000000,627500000,None,1046300000,None,-221200000,None,221200000,102600000,-12900000,None,378900000,1734900000,541500000,221200000,1969000000,723100000,1956100000,2335000000,1193400000
