fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,3335000000,8013000000,4678000000,4678000000,1243000000,1625000000,467000000,2742000000,None,-371000000,92000000,371000000,52000000,None,None,117000000,1009000000,64000000,371000000,936000000,893000000,1380000000,1497000000,945000000
2023-09-30,3732000000,8312000000,4580000000,4580000000,-2654000000,5992000000,430000000,6078000000,None,-304000000,73000000,304000000,18000000,None,None,122000000,-2856000000,-781000000,304000000,-2073000000,-2368000000,-2552000000,-2430000000,-2075000000
2023-06-30,3719000000,8325000000,4606000000,4606000000,-8958000000,12204000000,473000000,12325000000,None,-144000000,48000000,144000000,38000000,-65000000,None,121000000,-9025000000,-2184000000,144000000,-6839000000,-6744000000,-8881000000,-8760000000,-6841000000
2023-03-31,3418000000,8031000000,4613000000,4613000000,1241000000,1705000000,472000000,1827000000,None,-123000000,40000000,123000000,36000000,-52000000,None,122000000,1186000000,210000000,123000000,979000000,1119000000,1309000000,1431000000,976000000
2022-12-31,3494000000,8079000000,4585000000,4585000000,632000000,2146000000,445000000,3646000000,None,-115000000,84000000,115000000,34286000000,-27000000,None,129000000,603000000,62000000,115000000,535000000,1853000000,718000000,847000000,541000000
2022-09-30,3891000000,8619000000,4728000000,4728000000,4156000000,1998000000,461000000,-602000000,None,-106000000,17000000,106000000,2767000000,-22000000,None,124000000,4130000000,271000000,106000000,3861000000,3236000000,4236000000,4360000000,3859000000
2022-06-30,3609000000,8702000000,5093000000,5093000000,110000000,3023000000,476000000,3152000000,None,-128000000,11000000,128000000,10000000,-51000000,None,129000000,55000000,-23000000,128000000,83000000,-450000000,183000000,312000000,78000000
2022-03-31,4003000000,8829000000,4826000000,4826000000,1641000000,1882000000,480000000,2031000000,None,-113000000,8000000,113000000,17000000,-36000000,None,131000000,1601000000,302000000,113000000,1301000000,1215000000,1714000000,1845000000,1299000000
2021-12-31,3914000000,8612000000,4698000000,4698000000,1616000000,1824000000,474000000,3213000000,None,-118000000,8000000,118000000,35344000000,-49000000,None,146000000,1566000000,227000000,118000000,1337000000,2209000000,1684000000,1830000000,1339000000
2021-09-30,4089000000,8942000000,4853000000,4853000000,1788000000,1819000000,482000000,1950000000,None,-117000000,111000000,117000000,-36000000,-27000000,None,131000000,1758000000,324000000,117000000,1433000000,1300000000,1875000000,2006000000,1434000000
2021-06-30,4231000000,8950000000,4719000000,4719000000,1971000000,1746000000,514000000,1880000000,None,-121000000,113000000,121000000,8902000000,-31000000,None,134000000,1939000000,415000000,121000000,1523000000,1805000000,2060000000,2194000000,1524000000
2021-03-31,4326000000,8851000000,4525000000,4525000000,1994000000,1808000000,524000000,1941000000,None,-132000000,4000000,132000000,8841000000,-48000000,None,133000000,1943000000,319000000,132000000,1626000000,1578000000,2075000000,2208000000,1624000000
2020-12-31,4195000000,8583000000,4388000000,4388000000,1849000000,1890000000,456000000,3189000000,None,-141000000,5000000,141000000,8573000000,-143000000,None,153000000,1710000000,321000000,10000000,4185000000,1672000000,1851000000,2004000000,1389000000
2020-09-30,4047000000,8350000000,4303000000,4303000000,1909000000,1677000000,461000000,1814000000,None,-128000000,123000000,128000000,8335000000,-105000000,None,137000000,1821000000,391000000,128000000,1418000000,1745000000,1949000000,2086000000,1430000000
2020-06-30,3371000000,7176000000,3805000000,3805000000,1740000000,1594000000,424000000,1341000000,None,-137000000,9000000,137000000,7575000000,-111000000,None,134000000,1653000000,347000000,137000000,1287000000,1423000000,1790000000,1924000000,1306000000
2020-03-31,3966000000,8075000000,4109000000,4109000000,1663000000,1768000000,537000000,1900000000,None,-123000000,10000000,123000000,8076000000,-96000000,None,134000000,1586000000,278000000,123000000,1294000000,1022000000,1709000000,1843000000,1308000000
2019-12-31,3786000000,8111000000,4325000000,4325000000,1325000000,1940000000,521000000,3470000000,None,-124000000,16000000,124000000,8111000000,-369000000,None,138000000,1195000000,226000000,124000000,3786000000,218000000,1319000000,1457000000,969000000
2019-09-30,3803000000,7991000000,4188000000,4188000000,2011000000,1455000000,443000000,1364000000,None,-109000000,26000000,109000000,8166000000,-45000000,None,74000000,1961000000,378000000,109000000,1588000000,1467000000,2070000000,2144000000,1583000000
2019-06-30,3858000000,8171000000,4313000000,4313000000,1702000000,1686000000,470000000,1762000000,None,-111000000,18000000,111000000,8226000000,None,None,76000000,1442000000,315000000,111000000,1131000000,1407000000,1553000000,1629000000,1127000000
2019-03-31,3553000000,7863000000,4310000000,4310000000,1136000000,1948000000,477000000,2009000000,None,-104000000,20000000,104000000,7961000000,-48000000,None,69000000,1086000000,195000000,104000000,893000000,1058000000,1190000000,1259000000,891000000
2018-12-31,3885000000,7945000000,4060000000,4060000000,1783000000,1682000000,437000000,2979000000,None,-95000000,None,95000000,7945000000,-63000000,None,61000000,1718000000,371000000,95000000,3885000000,1448000000,1813000000,1874000000,1347000000
2018-09-30,3993000000,8152000000,4159000000,4159000000,2016000000,1547000000,430000000,1608000000,None,-85000000,None,85000000,8128000000,-51000000,None,61000000,1962000000,419000000,85000000,1546000000,1594000000,2047000000,2108000000,1543000000
2018-06-30,4163000000,8390000000,4227000000,4227000000,2401000000,1800000000,468000000,1357000000,None,-88000000,None,88000000,8869000000,-51000000,None,63000000,2345000000,488000000,88000000,1862000000,1641000000,2433000000,2496000000,1857000000
2018-03-31,4042000000,8278000000,4236000000,4236000000,1007000000,2573000000,486000000,2613000000,None,-82000000,None,82000000,8238000000,-42000000,None,64000000,961000000,359000000,82000000,606000000,825000000,1043000000,1107000000,602000000
2017-12-31,3896000000,7990000000,4094000000,4080000000,1789000000,1755000000,443000000,3057000000,None,-166000000,None,166000000,-96000000,-305000000,None,76000000,1670000000,1147000000,96000000,3814000000,410000000,1836000000,1912000000,523000000
2017-09-30,4113000000,8172000000,4059000000,4045000000,2008000000,1637000000,463000000,1674000000,13000000,-57000000,None,57000000,-34000000,13000000,None,51000000,1993000000,564000000,57000000,1433000000,1505000000,2050000000,2101000000,1429000000
2017-06-30,3790000000,7810000000,4020000000,4007000000,2153000000,1620000000,473000000,1193000000,12000000,-54000000,None,54000000,433000000,12000000,None,47000000,2140000000,557000000,54000000,1585000000,1543000000,2194000000,2241000000,1583000000
2017-03-31,3803000000,7685000000,3882000000,3869000000,1742000000,1614000000,471000000,1635000000,8000000,-45000000,None,45000000,-37000000,8000000,None,64000000,1734000000,411000000,45000000,1326000000,1619000000,1779000000,1843000000,1323000000
2016-12-31,3613000000,7374000000,3716000000,3716000000,1469000000,1687000000,421000000,2819000000,9000000,None,None,64000000,-24000000,9000000,None,67000000,1609000000,454000000,64000000,3613000000,56000000,1469000000,1536000000,1155000000
2016-09-30,3817000000,7664000000,3847000000,3847000000,1904000000,1531000000,427000000,1594000000,8000000,None,None,50000000,-45000000,8000000,None,63000000,1860000000,531000000,50000000,1331000000,1367000000,1904000000,1967000000,1329000000
2016-06-30,3853000000,7652000000,3799000000,3799000000,1866000000,1560000000,437000000,1626000000,7000000,None,None,38000000,-10000000,7000000,None,66000000,1833000000,542000000,38000000,1293000000,1368000000,1866000000,1932000000,1291000000
2016-03-31,3731000000,7409000000,3678000000,3678000000,1788000000,1493000000,450000000,1559000000,5000000,None,None,47000000,50000000,5000000,None,66000000,1743000000,468000000,47000000,1278000000,1373000000,1788000000,1854000000,1275000000
2015-12-31,3471000000,7298000000,3827000000,3827000000,1500000000,1585000000,433000000,114000000,8000000,None,None,45000000,None,8000000,None,60000000,1462000000,424000000,45000000,3471000000,1146000000,1500000000,1560000000,1038000000
2015-09-30,3835000000,7712000000,3877000000,3877000000,1876000000,1530000000,429000000,1596000000,7000000,None,None,38000000,None,7000000,None,66000000,1843000000,547000000,38000000,1298000000,1062000000,1876000000,1942000000,1296000000
2015-06-30,3828000000,7686000000,3858000000,3858000000,1840000000,1550000000,438000000,1600000000,None,None,None,35000000,None,7000000,None,50000000,1809000000,509000000,35000000,1303000000,1388000000,1840000000,1890000000,1300000000
2015-03-31,3757000000,7578000000,3821000000,3821000000,1730000000,1564000000,463000000,1617000000,None,None,None,31000000,None,4000000,None,53000000,1701000000,502000000,31000000,1201000000,1167000000,1730000000,1783000000,1199000000
2014-12-31,3692000000,7719000000,4027000000,4027000000,1662000000,1594000000,436000000,2845000000,None,None,None,32000000,None,8000000,None,58000000,1638000000,459000000,32000000,3692000000,-1002000000,1662000000,1720000000,1179000000
