fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,919174000,1076285000,157111000,81883000,843946000,38015000,None,75228000,None,-208313000,18216000,208313000,-37553000,10804000,None,475856000,234208000,15803000,208313000,219762000,250450000,442521000,979012000,218405000
2023-09-30,912906000,1039104000,126198000,70981000,857689000,35525000,None,55217000,None,-184121000,2813000,184121000,12910000,7235000,None,495566000,244809000,11336000,184121000,233877000,179265000,428930000,932598000,233473000
2023-06-30,857517000,1019205000,161688000,94703000,790532000,36829000,None,66985000,None,-183857000,2141000,183857000,-7394000,3020000,None,472278000,208347000,12932000,183857000,197153000,218051000,392204000,912557000,195415000
2023-03-31,826350000,944399000,118049000,69397000,777698000,34167000,None,48652000,None,-154132000,10322000,154132000,8160000,2730000,None,451477000,236966000,11950000,154132000,226122000,251604000,391098000,843565000,225016000
2022-12-31,771671000,888669000,116998000,69089000,723762000,37525000,None,47909000,None,-131290000,2579000,131290000,-227138000,23604000,None,438174000,236646000,9381000,131290000,228336000,299036000,367936000,780382000,227265000
2022-09-30,745058000,837269000,92211000,52719000,705566000,34096000,None,39492000,None,-117409000,23555000,117409000,-24248000,2249000,None,419016000,229730000,10163000,117169000,220287000,172250000,347139000,735620000,219567000
2022-06-30,713680000,810419000,96739000,52180000,669121000,34139000,None,44559000,None,-110121000,853000,110121000,37401000,2806000,None,409437000,237865000,14658000,109994000,223822000,207669000,347986000,720279000,223207000
2022-03-31,708745000,807343000,98598000,52342000,662489000,32699000,None,46256000,None,-106403000,19301000,106403000,22720000,1852000,None,403762000,210350000,10981000,106403000,199971000,232353000,316753000,725108000,199369000
2021-12-31,461971000,685020000,219531000,43710000,286150000,30522000,None,175821000,None,-100739000,2986000,100739000,-39922000,6431000,None,333229000,14169000,10128000,147461000,4467000,10050000,114908000,618325000,4041000
2021-09-30,410606000,489891000,81269000,29662000,358999000,23813000,None,51607000,None,-76156000,2374000,76156000,20617000,1984000,None,198832000,141075000,6079000,80139000,135276000,153286000,217231000,460457000,134996000
2021-06-30,380155000,463298000,84127000,31734000,327762000,21849000,None,52393000,None,-73674000,400000,73674000,0,984000,None,187789000,133704000,9225000,73674000,124768000,113597000,207378000,425942000,124479000
2021-03-31,390789000,442254000,52015000,28499000,367273000,20796000,None,23516000,None,-73075000,804000,73075000,-46473000,550000,None,177985000,102165000,6225000,119548000,369449000,142090000,175240000,433497000,95940000
2020-12-31,418076000,418076000,67641000,27135000,418076000,16674000,None,40506000,None,-78764000,3311000,78764000,0,22667000,None,175041000,122431000,4500000,78764000,418076000,115743000,201195000,372079000,117931000
2020-09-30,257548000,404572000,147024000,25410000,135934000,16514000,None,121614000,None,-76806000,2336000,76806000,0,13736000,None,169084000,27496000,4592000,76806000,145078000,23542000,104302000,451671000,22904000
2020-06-30,381673000,414636000,32963000,26452000,348710000,19063000,None,32963000,None,-77841000,502000,77841000,0,1323000,None,168328000,110662000,2838000,77841000,347195000,97312000,188503000,381165000,107824000
2020-03-31,385399000,414341000,28942000,25606000,356457000,20964000,None,28942000,None,-75925000,1564000,75925000,-9819000,28687000,None,164585000,149590000,2763000,85744000,392200000,121357000,225515000,345126000,146827000
2019-12-31,397529000,397529000,25280000,25253000,397529000,16330000,None,25280000,None,-75073000,1792000,75073000,0,14131000,None,156594000,131033000,1736000,75073000,397529000,125794000,206106000,348936000,129297000
2019-09-30,344284000,374247000,29963000,20354000,314321000,16460000,None,29963000,None,-73410000,327000,73410000,0,1674000,None,149424000,102871000,1822000,73410000,314173000,102047000,176281000,348935000,101049000
2019-06-30,333804000,365450000,31646000,21342000,302158000,18585000,None,31646000,None,-72488000,136000,72488000,0,6891000,None,150426000,96349000,1155000,72488000,307894000,92394000,168837000,331557000,95194000
2019-03-31,334585000,354365000,19780000,21636000,314805000,15108000,None,19780000,None,-70020000,None,70020000,0,7300000,None,137517000,112387000,1445000,70020000,320660000,107243000,182407000,315030000,110942000
2018-12-31,342576000,342576000,36713000,17732000,342576000,34178000,None,36713000,None,-70635000,None,70635000,348476000,None,None,137711000,86679000,1607000,70635000,342576000,76974000,157314000,286076000,85072000
2018-09-30,246445000,338081000,30094000,15806000,216351000,16332000,None,30094000,None,-69342000,None,69342000,338081000,None,None,136967000,100301000,1302000,69342000,215049000,98999000,169643000,304992000,98999000
