fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-03-31,4307000000,20195000000,15888000000,9855000000,4460000000,5880000000,None,6033000000,104000000,-233000000,None,233000000,None,260000000,None,712000000,4566000000,812000000,233000000,3781000000,3551000000,4799000000,5511000000,3754000000
2023-12-31,5602000000,21441000000,15839000000,10144000000,4433000000,5522000000,None,5695000000,133000000,-248000000,133000000,248000000,None,177000000,None,721000000,4471000000,1003000000,248000000,3493000000,3884000000,4719000000,5440000000,3468000000
2023-09-30,5064000000,21871000000,16807000000,10501000000,5767000000,5604000000,None,6303000000,128000000,-225000000,97000000,225000000,None,132000000,None,702000000,5767000000,1246000000,225000000,4556000000,4157000000,5992000000,6694000000,4521000000
2023-06-30,5514000000,20553000000,15039000000,10613000000,4162000000,5778000000,2000000000,6390000000,116000000,-240000000,116000000,240000000,None,195000000,None,-1681000000,4225000000,841000000,240000000,3392000000,3430000000,4465000000,2784000000,3384000000
2023-03-31,4166000000,20068000000,15902000000,10404000000,4248000000,5416000000,None,5498000000,83000000,-222000000,83000000,222000000,None,179000000,None,692000000,4261000000,864000000,222000000,3424000000,3637000000,4483000000,5175000000,3397000000
2022-12-31,4706000000,20773000000,16067000000,10897000000,4785000000,5091000000,None,5170000000,66000000,-171000000,105000000,171000000,None,155000000,None,653000000,4809000000,876000000,171000000,3959000000,4238000000,4980000000,5633000000,3933000000
2022-09-30,4276000000,20612000000,16336000000,10846000000,4939000000,4827000000,None,5489000000,42000000,-123000000,81000000,123000000,None,139000000,None,663000000,4973000000,1034000000,123000000,3963000000,3317000000,5096000000,5759000000,3939000000
2022-06-30,5118000000,19515000000,14397000000,10802000000,3598000000,5115000000,2000000000,5594000000,21000000,-115000000,21000000,115000000,0,146000000,None,-1773000000,3644000000,592000000,115000000,3058000000,4311000000,3759000000,1986000000,3052000000
2022-03-31,3945000000,19381000000,15436000000,10326000000,4024000000,5031000000,None,5110000000,9000000,-109000000,9000000,109000000,0,147000000,None,690000000,4059000000,704000000,109000000,3367000000,3471000000,4168000000,4858000000,3355000000
2021-12-31,5094000000,20953000000,15859000000,10664000000,5168000000,5121000000,None,5195000000,10000000,-106000000,96000000,106000000,None,167000000,None,684000000,5220000000,997000000,106000000,4242000000,4721000000,5326000000,6010000000,4223000000
