fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,3513633000,19287942000,15774309000,15803309000,700043000,None,None,2813590000,None,-149680000,-145117000,4563000,19287942000,None,None,249784000,545118000,129876000,4563000,415242000,552289000,700043000,966337000,415242000
2023-09-30,3647772000,19620454000,15972682000,15972682000,803582000,None,None,2844190000,None,-134334000,-129780000,4554000,19620454000,None,None,206007000,662608000,159216000,4554000,503392000,429182000,803582000,10024949000,503392000
2023-06-30,3685166000,19728216000,16043050000,16043050000,969397000,1369014000,None,2715769000,None,-135629000,135629000,135629000,19728216000,124172000,None,229773000,957940000,224204000,None,733736000,762031000,969397000,1323342000,733736000
2023-03-31,3431360000,18875676000,15444316000,15444316000,694177000,None,None,2737183000,None,-134931000,134931000,134931000,18875676000,-5209000,None,218862000,554037000,124433000,None,429604000,473507000,694177000,913039000,429604000
2022-12-31,3349616000,18593953000,15244337000,15244337000,640823000,None,None,2708793000,None,-132042000,-127162000,4880000,18593953000,-330124000,None,218367000,178476000,37260000,4880000,141216000,527753000,640642000,528885000,141216000
2022-09-30,3488855000,19126830000,15637975000,15637975000,736801000,None,None,2752054000,None,-124150000,-118715000,5435000,19126830000,-15281000,None,201185000,594902000,129334000,5435000,465568000,236297000,736801000,935518000,465568000
2022-06-30,3444272000,18957258000,15512986000,15512986000,766715000,1303582000,None,2677557000,None,-128512000,-115861000,12651000,18957258000,3676000,None,230587000,641879000,131890000,12651000,509989000,326939000,766715000,997302000,509989000
2022-03-31,3013394000,16902139000,13888745000,13888745000,495729000,None,None,2517665000,None,-124018000,-118872000,5146000,16902139000,13777000,None,235180000,385488000,82163000,5146000,303325000,240579000,495729000,730909000,303325000
2021-12-31,2891150000,16320203000,13429053000,13429053000,444909000,None,None,2446241000,None,-242899000,-237462000,5437000,16204603000,10676000,None,217932000,212686000,45245000,115600000,167441000,149120000,444909000,455585000,167441000
2021-09-30,2971708000,16456546000,13484838000,13484838000,631682000,None,None,2340026000,None,-128214000,-122637000,5577000,16456546000,3252000,None,214687000,506720000,128707000,5577000,378013000,308840000,631682000,849621000,378013000
2021-06-30,2915778000,16136893000,13221115000,13221115000,569684000,None,None,2346094000,None,-441149000,-430695000,10454000,15843093000,13483000,None,227937000,142018000,-9075000,304351000,151093000,354775000,569684000,811104000,151093000
2021-03-31,2122668000,11824589000,9701921000,9701921000,235917000,None,None,1886751000,None,-145773000,-139234000,6539000,11824589000,12708000,None,203322000,102852000,13925000,6539000,88927000,124650000,235917000,451947000,88927000
2020-12-31,2098458000,11558982000,9460524000,9460524000,212062000,None,None,1886396000,None,-146498000,-140106000,6392000,11558982000,15556000,None,212664000,81120000,13831000,6392000,67289000,291506000,212062000,440282000,67289000
