fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,693000000,1642000000,949000000,271900000,387200000,172500000,None,1254800000,None,None,None,1135500000,1642000000,-1000000,None,41100000,610900000,173300000,None,473600000,436300000,387200000,428300000,437600000
2023-09-30,889000000,1670700000,781700000,297400000,581300000,106800000,None,1089400000,None,None,5600000,1030800000,1670700000,-3500000,None,38500000,598100000,144900000,None,439200000,454800000,581300000,619800000,453200000
2023-06-30,810500000,1610200000,799700000,304600000,533500000,122900000,None,1076700000,None,None,113500000,None,1610200000,-7300000,None,28600000,634900000,158500000,None,481200000,480100000,533500000,562100000,476400000
2023-03-31,724800000,1537600000,812800000,309900000,484200000,133300000,None,1053400000,None,None,139300000,115200000,1537600000,-3900000,None,26000000,599400000,177900000,None,441700000,422800000,484200000,510200000,421500000
2022-12-31,270100000,1524200000,1254100000,326700000,253100000,224600000,None,1271100000,None,None,140800000,8300000,1524200000,-5100000,None,202100000,365200000,99200000,None,289600000,269300000,253100000,455200000,266000000
2022-09-30,863700000,1588200000,724500000,344200000,574600000,136400000,None,1013600000,None,None,83200000,56200000,1588200000,400000,None,27100000,518400000,134000000,None,357800000,375300000,574600000,601700000,384400000
2022-06-30,954900000,1513000000,558100000,229700000,668600000,94700000,None,844400000,None,None,279700000,228100000,1513000000,-5400000,None,27200000,440500000,100900000,None,287800000,323700000,668600000,695800000,339600000
2022-03-31,1177600000,1863000000,685400000,346000000,877400000,103800000,None,985600000,None,None,192900000,145000000,1863000000,-7200000,None,27100000,732400000,164500000,None,514400000,562900000,877400000,904500000,567900000
2021-12-31,1287600000,1961700000,674100000,357800000,862500000,194100000,None,1099200000,None,None,50000000,7000000,1961700000,300000,None,53700000,919600000,179000000,None,733600000,743500000,862500000,812600000,740600000
2021-09-30,1285600000,1954100000,668500000,299800000,996200000,103900000,None,957900000,None,None,None,None,1954100000,-3100000,51700000,51700000,1004500000,227300000,None,757400000,776500000,996200000,1047900000,777200000
2021-06-30,1213400000,1929300000,715900000,278100000,958100000,112100000,None,971200000,None,None,None,None,1929300000,700000,50400000,50400000,1075000000,259300000,None,842700000,817500000,958100000,1008500000,815700000
2021-03-31,1088100000,1826800000,738700000,262900000,893200000,106200000,None,933600000,None,None,None,None,1826800000,-3700000,49000000,49000000,979900000,230500000,None,764800000,741900000,893200000,942200000,749400000
2020-12-31,1732900000,1732900000,637800000,755200000,755900000,141400000,None,977000000,None,None,None,None,1732900000,5500000,None,45600000,999800000,216400000,None,1732900000,803100000,755900000,371400000,783400000
2020-09-30,954800000,1595800000,641000000,662600000,728900000,88700000,None,866900000,None,None,None,None,1595800000,5800000,49700000,49700000,865100000,221900000,None,698600000,652700000,728900000,778600000,643200000
2020-06-30,766600000,1415400000,648800000,650600000,553700000,99800000,None,861700000,None,None,None,None,1415400000,2000000,48200000,48200000,843300000,240300000,None,728500000,599900000,553700000,601900000,603000000
2020-03-31,873800000,1462600000,588800000,548000000,707200000,102000000,None,755400000,None,None,485000000,None,1462600000,-15400000,46100000,46100000,383400000,40300000,None,166600000,337000000,707200000,753300000,343100000
2019-12-31,1468700000,1468700000,540200000,633000000,580300000,143700000,None,888400000,None,None,163000000,None,1468700000,7000000,None,59100000,701700000,156400000,None,1468700000,551000000,580300000,417300000,545300000
2019-09-30,861000000,1426700000,565700000,568800000,659100000,99400000,None,767600000,None,None,43800000,None,1426700000,-700000,45700000,45700000,702900000,157000000,None,545100000,535700000,659100000,661100000,545900000
2019-06-30,809300000,1395200000,585900000,581000000,615100000,102700000,None,780100000,None,None,124500000,None,1395200000,-100000,44100000,44100000,711200000,183700000,None,555900000,530600000,615100000,534600000,527500000
2019-03-31,699300000,1327300000,628000000,602100000,532500000,94600000,None,794800000,None,None,201900000,None,1327300000,800000,41900000,41900000,693900000,181300000,None,554000000,513000000,532500000,372400000,512600000
2018-12-31,1305000000,1305000000,654600000,564800000,542300000,153100000,None,762700000,None,None,None,57300000,1305000000,-1700000,44600000,44600000,470300000,118400000,None,1305000000,340900000,542300000,662100000,351900000
2018-09-30,846400000,1394600000,548200000,563600000,640600000,93900000,None,754000000,None,None,None,57300000,1394600000,100000,40200000,40200000,766900000,183900000,None,581600000,575700000,640600000,556000000,583000000
2018-06-30,796600000,1345000000,548400000,564700000,594700000,92400000,None,750300000,None,None,None,57300000,1345000000,-2400000,37800000,37800000,618100000,169200000,None,459600000,431600000,594700000,596000000,448900000
2018-03-31,753400000,1328000000,574600000,553800000,583800000,537700000,None,744200000,None,None,None,57300000,1328000000,900000,36900000,36900000,598100000,144400000,None,455500000,461100000,583800000,605500000,453700000
2017-12-31,1286100000,1286100000,565100000,484300000,531000000,565100000,None,766600000,None,None,None,38000000,1286100000,700000,36700000,36700000,593500000,246400000,None,1286100000,344000000,531000000,466400000,347100000
2017-09-30,755300000,1221700000,466400000,454800000,548500000,431400000,None,690200000,None,None,None,72800000,1221700000,900000,35000000,35000000,602500000,211600000,None,404200000,402000000,548500000,517100000,390900000
2017-06-30,712900000,1171600000,458700000,440200000,507600000,422400000,None,678400000,None,None,None,None,1171600000,1200000,36300000,36300000,603500000,229600000,None,390000000,367700000,507600000,433100000,373900000
2017-03-31,655000000,1113600000,458600000,432600000,521700000,423000000,None,610900000,None,None,None,91400000,1113600000,1300000,35600000,35600000,622200000,236300000,None,400400000,369000000,521700000,343600000,385900000
2016-12-31,1091200000,1091200000,475000000,417100000,563300000,441600000,None,589800000,None,None,None,None,1091200000,-1800000,33400000,33400000,588500000,208700000,None,1091200000,358000000,563300000,382700000,379800000
2016-09-30,658000000,1092900000,434900000,422900000,475700000,400900000,None,617200000,None,None,None,295800000,1092900000,0,34000000,34000000,529100000,201300000,None,362700000,334800000,475700000,421400000,327800000
2016-06-30,584200000,1044700000,460500000,406600000,283500000,426700000,None,761200000,None,None,None,591600000,1044700000,-200000,33800000,33800000,317100000,113800000,None,203200000,200500000,283500000,608000000,203300000
2016-03-31,542200000,994100000,451900000,389100000,410900000,419700000,None,583200000,None,None,None,None,994100000,0,32200000,32200000,486800000,182700000,None,304400000,279100000,410900000,358000000,304100000
2015-12-31,1052200000,1052200000,487500000,394100000,455000000,455600000,None,597200000,None,None,None,328200000,1052200000,-700000,31900000,31900000,498400000,195200000,None,1052200000,300900000,455000000,443500000,303200000
2015-09-30,583000000,1049000000,466000000,417500000,458300000,432900000,None,590700000,None,None,None,328200000,1049000000,-1700000,33100000,33100000,458600000,181500000,None,277100000,240200000,458300000,491100000,277100000
2015-06-30,625200000,1072400000,447200000,399500000,507800000,415000000,None,564600000,None,None,None,656400000,1072400000,200000,32200000,32200000,540800000,207600000,None,333200000,320800000,507800000,507000000,333200000
2015-03-31,587800000,1027000000,439200000,384000000,477800000,410100000,None,549200000,None,None,None,None,1027000000,-1100000,29100000,29100000,504600000,195100000,None,309500000,311300000,477800000,480100000,309500000
2014-12-31,564200000,1022400000,458200000,375000000,480000000,429900000,None,542400000,None,0,None,None,1022400000,38800000,28300000,28300000,518800000,202900000,None,315900000,286300000,480000000,469500000,315900000
2014-09-30,597500000,1020800000,423300000,383800000,488700000,395000000,None,532100000,None,0,None,None,1020800000,5200000,28300000,28300000,493900000,190300000,None,303600000,266700000,488700000,511800000,303600000
